Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Port Blair (M Cl) - Ward No.1,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55214
2,Port Blair (M Cl) - Ward No.2,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55215
3,Port Blair (M Cl) - Ward No.3,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55216
4,Port Blair (M Cl) - Ward No.4,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55217
5,Port Blair (M Cl) - Ward No.5,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55218
6,Port Blair (M Cl) - Ward No.6,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55219
7,Port Blair (M Cl) - Ward No.7,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55220
8,Port Blair (M Cl) - Ward No.8,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55221
9,Port Blair (M Cl) - Ward No.9,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55222
10,Port Blair (M Cl) - Ward No.10,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55223
11,Port Blair (M Cl) - Ward No.11,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55224
12,Port Blair (M Cl) - Ward No.12,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55225
13,Port Blair (M Cl) - Ward No.13,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55226
14,Port Blair (M Cl) - Ward No.14,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55227
15,Port Blair (M Cl) - Ward No.15,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55228
16,Port Blair (M Cl) - Ward No.16,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55229
17,Port Blair (M Cl) - Ward No.17,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55230
18,Port Blair (M Cl) - Ward No.18,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,55231
19,Port Blair (M CI)- Ward No. 19,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,1295564
20,Port Blair (M CI)- Ward No. 20,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,1295565
21,Port Blair (M CI)- Ward No. 21,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,1295566
22,Port Blair (M CI)- Ward No. 22,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,1295567
23,Port Blair (M CI)- Ward No. 23,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,1295568
24,Port Blair (M CI)- Ward No. 24,Port Blair,Municipality,South Andamans,Andaman And Nicobar Islands,1295569
