Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Guntur (M Corp.) - Ward No.1,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59154
2,Guntur (M Corp.) - Ward No.2,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59155
3,Guntur (M Corp.) - Ward No.3,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59156
4,Guntur (M Corp.) - Ward No.4,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59157
5,Guntur (M Corp.) - Ward No.5,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59158
6,Guntur (M Corp.) - Ward No.6,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59159
7,Guntur (M Corp.) - Ward No.7,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59160
8,Guntur (M Corp.) - Ward No.8,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59161
9,Guntur (M Corp.) - Ward No.9,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59162
10,Guntur (M Corp.) - Ward No.10,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59163
11,Guntur (M Corp.) - Ward No.11,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59164
12,Guntur (M Corp.) - Ward No.12,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59165
13,Guntur (M Corp.) - Ward No.13,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59166
14,Guntur (M Corp.) - Ward No.14,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59167
15,Guntur (M Corp.) - Ward No.15,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59168
16,Guntur (M Corp.) - Ward No.16,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59169
17,Guntur (M Corp.) - Ward No.17,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59170
18,Guntur (M Corp.) - Ward No.18,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59171
19,Guntur (M Corp.) - Ward No.19,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59172
20,Guntur (M Corp.) - Ward No.20,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59173
21,Guntur (M Corp.) - Ward No.21,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59174
22,Guntur (M Corp.) - Ward No.22,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59175
23,Guntur (M Corp.) - Ward No.23,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59176
24,Guntur (M Corp.) - Ward No.24,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59177
25,Guntur (M Corp.) - Ward No.25,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59178
26,Guntur (M Corp.) - Ward No.26,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59179
27,Guntur (M Corp.) - Ward No.27,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59180
28,Guntur (M Corp.) - Ward No.28,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,59181
29,Guntur (M Corp.) - Ward No.29,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69675
30,Guntur (M Corp.) - Ward No.30,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69676
31,Guntur (M Corp.) - Ward No.31,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69677
32,Guntur (M Corp.) - Ward No.32,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69678
33,Guntur (M Corp.) - Ward No.33,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69679
34,Guntur (M Corp.) - Ward No.34,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69680
35,Guntur (M Corp.) - Ward No.35,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69681
36,Guntur (M Corp.) - Ward No.36,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69682
37,Guntur (M Corp.) - Ward No.37,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69683
38,Guntur (M Corp.) - Ward No.38,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69684
39,Guntur (M Corp.) - Ward No.39,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69685
40,Guntur (M Corp.) - Ward No.40,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69686
41,Guntur (M Corp.) - Ward No.41,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69687
42,Guntur (M Corp.) - Ward No.42,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69688
43,Guntur (M Corp.) - Ward No.43,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69689
44,Guntur (M Corp.) - Ward No.44,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69690
45,Guntur (M Corp.) - Ward No.45,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69691
46,Guntur (M Corp.) - Ward No.46,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69692
47,Guntur (M Corp.) - Ward No.47,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69693
48,Guntur (M Corp.) - Ward No.48,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69694
49,Guntur (M Corp.) - Ward No.49,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69695
50,Guntur (M Corp.) - Ward No.50,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69696
51,Guntur (M Corp.) - Ward No.51,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69697
52,Guntur (M Corp.) - Ward No.52,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,69698
53,Guntur Ward No. 53,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,1297306
54,Guntur Ward No. 54,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,1297307
55,Guntur Ward No. 55,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,1297308
56,Guntur Ward No. 56,Guntur,Municipal Corporation,Guntur,Andhra Pradesh,1297309
