Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294931
2,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294932
3,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294948
4,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294949
5,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294950
6,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294951
7,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294952
8,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294953
9,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294954
10,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294967
11,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294968
12,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294969
13,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294970
14,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294971
15,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294972
16,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294973
17,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294974
18,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294975
19,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294976
20,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294977
21,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294978
22,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294979
23,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294980
24,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294981
25,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294982
26,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294983
27,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294984
28,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294985
29,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294986
30,,Itanagar,Municipal Corporation,Papum Pare,Arunachal Pradesh,1294987
1,Itanagar (CT) - Ward No.1,Itanagar,Town Panchayat,Papum Pare,Arunachal Pradesh,8871
1,Naharlagun (CT) - Ward No.1,Naharlagun,Town Panchayat,Papum Pare,Arunachal Pradesh,74273
1,Changlang (CT) - Ward No.1,Changlang,Town Panchayat,Dibang Valley,Arunachal Pradesh,15561
1,Pasighat (CT) - Ward No.1,Pasighat,Town Panchayat,Changlang,Arunachal Pradesh,15558
1,Seppa (CT) - Ward No.1,Seppa,Town Panchayat,East Kameng,Arunachal Pradesh,74274
1,,Pasighat,Municipality,East Siang,Arunachal Pradesh,1294955
2,,Pasighat,Municipality,East Siang,Arunachal Pradesh,1294956
3,,Pasighat,Municipality,East Siang,Arunachal Pradesh,1294957
4,,Pasighat,Municipality,East Siang,Arunachal Pradesh,1294958
5,,Pasighat,Municipality,East Siang,Arunachal Pradesh,1294959
6,,Pasighat,Municipality,East Siang,Arunachal Pradesh,1294960
7,,Pasighat,Municipality,East Siang,Arunachal Pradesh,1294961
8,,Pasighat,Municipality,East Siang,Arunachal Pradesh,1294962
9,,Pasighat,Municipality,East Siang,Arunachal Pradesh,1294963
10,,Pasighat,Municipality,East Siang,Arunachal Pradesh,1294964
11,,Pasighat,Municipality,East Siang,Arunachal Pradesh,1294965
12,,Pasighat,Municipality,East Siang,Arunachal Pradesh,1294966
1,Along (CT) - Ward No.1,Along,Town Panchayat,East Siang,Arunachal Pradesh,72984
1,Tezu (CT) - Ward No.1,Tezu,Town Panchayat,Kra Daadi,Arunachal Pradesh,72985
1,Namsai (CT) - Ward No.1,Namsai,Town Panchayat,Kurung Kumey,Arunachal Pradesh,15560
1,Daporijo (CT) - Ward No.1,Daporijo,Town Panchayat,Leparada,Arunachal Pradesh,15556
1,Jairampur (CT) - Ward No.1,Jairampur,Town Panchayat,Lower Dibang Valley,Arunachal Pradesh,15562
1,Roing (CT) - Ward No.1,Roing,Town Panchayat,Lower Subansiri,Arunachal Pradesh,15559
1,Ziro (CT) - Ward No.1,Ziro,Town Panchayat,Lower Subansiri,Arunachal Pradesh,8870
1,Deomali (CT) - Ward No.1,Deomali,Town Panchayat,Namsai,Arunachal Pradesh,15563
1,Khonsa (CT) - Ward No.1,Khonsa,Town Panchayat,Namsai,Arunachal Pradesh,72986
1,Tawang (CT) - Ward No.1,Tawang,Town Panchayat,Tawang,Arunachal Pradesh,8872
1,Basar (CT) - Ward No.1,Basar,Town Panchayat,Upper Siang,Arunachal Pradesh,15557
1,Bomdila (CT) - Ward No.1,Bomdila,Town Panchayat,West Kameng,Arunachal Pradesh,8869
