Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Dokmoka (TC) - Ward No.1,Dokmoka,Town Panchayat,Karbi Anglong,Assam,12960
2,Dokmoka (TC) - Ward No.2,Dokmoka,Town Panchayat,Karbi Anglong,Assam,12961
3,Dokmoka (TC) - Ward No.3,Dokmoka,Town Panchayat,Karbi Anglong,Assam,12962
4,Dokmoka (TC) - Ward No.4,Dokmoka,Town Panchayat,Karbi Anglong,Assam,12963
5,Dokmoka (TC) - Ward No.5,Dokmoka,Town Panchayat,Karbi Anglong,Assam,12964
6,Dokmoka (TC) - Ward No.6,Dokmoka,Town Panchayat,Karbi Anglong,Assam,12965
1,Howraghat (TC) - Ward No.1,Howraghat,Town Panchayat,Karbi Anglong,Assam,66350
2,Howraghat (TC) - Ward No.2,Howraghat,Town Panchayat,Karbi Anglong,Assam,66351
3,Howraghat (TC) - Ward No.3,Howraghat,Town Panchayat,Karbi Anglong,Assam,66352
4,Howraghat (TC) - Ward No.4,Howraghat,Town Panchayat,Karbi Anglong,Assam,66353
5,Howraghat (TC) - Ward No.5,Howraghat,Town Panchayat,Karbi Anglong,Assam,66354
1,Umrangso (TC) - Ward No.1,Umrangso,Town Panchayat,Karbi Anglong,Assam,12966
2,Umrangso (TC) - Ward No.2,Umrangso,Town Panchayat,Karbi Anglong,Assam,12967
3,Umrangso (TC) - Ward No.3,Umrangso,Town Panchayat,Karbi Anglong,Assam,12968
4,Umrangso (TC) - Ward No.4,Umrangso,Town Panchayat,Karbi Anglong,Assam,12969
5,Umrangso (TC) - Ward No.5,Umrangso,Town Panchayat,Karbi Anglong,Assam,12970
6,Umrangso (TC) - Ward No.6,Umrangso,Town Panchayat,Karbi Anglong,Assam,12971
7,Umrangso (TC) - Ward No.7,Umrangso,Town Panchayat,Karbi Anglong,Assam,12972
8,Umrangso (TC) - Ward No.8,Umrangso,Town Panchayat,Karbi Anglong,Assam,12973
9,Umrangso (TC) - Ward No.9,Umrangso,Town Panchayat,Karbi Anglong,Assam,12974
10,Umrangso (TC) - Ward No.10,Umrangso,Town Panchayat,Karbi Anglong,Assam,12975
1,Abhayapuri (TC) - Ward No.1,Abhayapuri,Town Panchayat,Bongaigaon,Assam,12531
2,Abhayapuri (TC) - Ward No.2,Abhayapuri,Town Panchayat,Bongaigaon,Assam,12532
3,Abhayapuri (TC) - Ward No.3,Abhayapuri,Town Panchayat,Bongaigaon,Assam,12533
4,Abhayapuri (TC) - Ward No.4,Abhayapuri,Town Panchayat,Bongaigaon,Assam,12534
1,Pathsala (TC) - Ward No.1,Pathsala,Town Panchayat,Bajali,Assam,12557
2,Pathsala (TC) - Ward No.2,Pathsala,Town Panchayat,Bajali,Assam,12558
3,Pathsala (TC) - Ward No.3,Pathsala,Town Panchayat,Bajali,Assam,12559
4,Pathsala (TC) - Ward No.4,Pathsala,Town Panchayat,Bajali,Assam,12560
1,Barpeta (MB) - Ward No.1,Barpeta,Municipality,Barpeta,Assam,69039
2,Barpeta (MB) - Ward No.2,Barpeta,Municipality,Barpeta,Assam,69040
3,Barpeta (MB) - Ward No.3,Barpeta,Municipality,Barpeta,Assam,69041
4,Barpeta (MB) - Ward No.4,Barpeta,Municipality,Barpeta,Assam,69042
5,Barpeta (MB) - Ward No.5,Barpeta,Municipality,Barpeta,Assam,69043
6,Barpeta (MB) - Ward No.6,Barpeta,Municipality,Barpeta,Assam,69044
7,Barpeta (MB) - Ward No.7,Barpeta,Municipality,Barpeta,Assam,69045
8,Barpeta (MB) - Ward No.8,Barpeta,Municipality,Barpeta,Assam,69046
9,Barpeta (MB) - Ward No.9,Barpeta,Municipality,Barpeta,Assam,69047
10,Barpeta (MB) - Ward No.10,Barpeta,Municipality,Barpeta,Assam,69048
11,Barpeta (MB) - Ward No.11,Barpeta,Municipality,Barpeta,Assam,69049
12,Barpeta (MB) - Ward No.12,Barpeta,Municipality,Barpeta,Assam,69050
13,Barpeta (MB) - Ward No.13,Barpeta,Municipality,Barpeta,Assam,69051
14,Barpeta (MB) - Ward No.14,Barpeta,Municipality,Barpeta,Assam,69052
15,Barpeta (MB) - Ward No.15,Barpeta,Municipality,Barpeta,Assam,69053
16,Barpeta (MB) - Ward No.16,Barpeta,Municipality,Barpeta,Assam,69054
17,Barpeta (MB) - Ward No.17,Barpeta,Municipality,Barpeta,Assam,69055
18,Barpeta (MB) - Ward No.18,Barpeta,Municipality,Barpeta,Assam,69056
19,Barpeta (MB) - Ward No.19,Barpeta,Municipality,Barpeta,Assam,69057
20,Barpeta (MB) - Ward No.20,Barpeta,Municipality,Barpeta,Assam,69058
21,Barpeta (MB) - Ward No.21,Barpeta,Municipality,Barpeta,Assam,69059
22,Barpeta (MB) - Ward No.22,Barpeta,Municipality,Barpeta,Assam,69060
1,Barpeta Road (MB) - Ward No.1,Barpeta Road,Municipality,Barpeta,Assam,12539
2,Barpeta Road (MB) - Ward No.2,Barpeta Road,Municipality,Barpeta,Assam,12540
