Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Patna (M Corp.) - Ward No.1,Patna,Municipal Corporation,Patna,Bihar,36411
2,Patna (M Corp.) - Ward No.2,Patna,Municipal Corporation,Patna,Bihar,36412
3,Patna (M Corp.) - Ward No.3,Patna,Municipal Corporation,Patna,Bihar,36413
4,Patna (M Corp.) - Ward No.4,Patna,Municipal Corporation,Patna,Bihar,36414
5,Patna (M Corp.) - Ward No.5,Patna,Municipal Corporation,Patna,Bihar,36415
6,Patna (M Corp.) - Ward No.6,Patna,Municipal Corporation,Patna,Bihar,36416
7,Patna (M Corp.) - Ward No.7,Patna,Municipal Corporation,Patna,Bihar,36417
8,Patna (M Corp.) - Ward No.8,Patna,Municipal Corporation,Patna,Bihar,36418
9,Patna (M Corp.) - Ward No.9,Patna,Municipal Corporation,Patna,Bihar,36419
10,Patna (M Corp.) - Ward No.10,Patna,Municipal Corporation,Patna,Bihar,36420
11,Patna (M Corp.) - Ward No.11,Patna,Municipal Corporation,Patna,Bihar,36421
12,Patna (M Corp.) - Ward No.12,Patna,Municipal Corporation,Patna,Bihar,36422
13,Patna (M Corp.) - Ward No.13,Patna,Municipal Corporation,Patna,Bihar,36423
14,Patna (M Corp.) - Ward No.14,Patna,Municipal Corporation,Patna,Bihar,36424
15,Patna (M Corp.) - Ward No.15,Patna,Municipal Corporation,Patna,Bihar,36425
16,Patna (M Corp.) - Ward No.16,Patna,Municipal Corporation,Patna,Bihar,36426
17,Patna (M Corp.) - Ward No.17,Patna,Municipal Corporation,Patna,Bihar,36427
18,Patna (M Corp.) - Ward No.18,Patna,Municipal Corporation,Patna,Bihar,36428
19,Patna (M Corp.) - Ward No.19,Patna,Municipal Corporation,Patna,Bihar,36429
20,Patna (M Corp.) - Ward No.20,Patna,Municipal Corporation,Patna,Bihar,36430
21,Patna (M Corp.) - Ward No.21,Patna,Municipal Corporation,Patna,Bihar,36431
