State,GitHub_CSV_Link
Andaman And Nicobar Islands,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Andaman%20And%20Nicobar%20Islands.csv
Andhra Pradesh,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Andhra%20Pradesh.csv
Arunachal Pradesh,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Arunachal%20Pradesh.csv
Assam,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Assam.csv
Bihar,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Bihar.csv
Chandigarh,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Chandigarh.csv
Chhattisgarh,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Chhattisgarh.csv
Delhi,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Delhi.csv
Goa,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Goa.csv
Gujarat,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Gujarat.csv
Haryana,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Haryana.csv
Himachal Pradesh,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Himachal%20Pradesh.csv
Jammu And Kashmir,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Jammu%20And%20Kashmir.csv
Jharkhand,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Jharkhand.csv
Karnataka,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Karnataka.csv
Kerala,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Kerala.csv
Ladakh,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Ladakh.csv
Madhya Pradesh,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Madhya%20Pradesh.csv
Maharashtra,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Maharashtra.csv
Manipur,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Manipur.csv
Meghalaya,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Meghalaya.csv
Mizoram,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Mizoram.csv
Nagaland,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Nagaland.csv
Odisha,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Odisha.csv
Puducherry,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Puducherry.csv
Punjab,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Punjab.csv
Rajasthan,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Rajasthan.csv
Sikkim,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Sikkim.csv
Tamil Nadu,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Tamil%20Nadu.csv
Telangana,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Telangana.csv
The Dadra And Nagar Haveli And Daman And Diu,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/The%20Dadra%20And%20Nagar%20Haveli%20And%20Daman%20And%20Diu.csv
Tripura,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Tripura.csv
Uttar Pradesh,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Uttar%20Pradesh.csv
Uttarakhand,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/Uttarakhand.csv
West Bengal,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/West%20Bengal.csv
All States Consolidated,https://github.com/SkyGlancer/CivicAtlas/blob/main/civicatlas_data/all_states_consolidated.csv
