Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,CHANDIGARH MC WARD NO 1,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302552
2,CHANDIGARH MC WARD NO 2,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302553
3,CHANDIGARH MC WARD NO 3,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302554
4,CHANDIGARH MC WARD NO 4,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302555
5,CHANDIGARH MC WARD NO 5,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302556
6,CHANDIGARH MC WARD NO 6,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302557
7,CHANDIGARH MC WARD NO 7,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302558
8,CHANDIGARH MC WARD NO 8,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302559
9,CHANDIGARH MC WARD NO 9,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302560
10,CHANDIGARH MC WARD NO 10,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302561
11,CHANDIGARH MC WARD NO 11,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302562
12,CHANDIGARH MC WARD NO 12,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302563
13,CHANDIGARH MC WARD NO 13,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302564
14,CHANDIGARH MC WARD NO 14,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302565
15,CHANDIGARH MC WARD NO 15,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302566
16,CHANDIGARH MC WARD NO 16,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302567
17,CHANDIGARH MC WARD NO 17,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302568
18,CHANDIGARH MC WARD NO 18,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302569
19,CHANDIGARH MC WARD NO 19,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302570
20,CHANDIGARH MC WARD NO 20,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302571
21,CHANDIGARH MC WARD NO 21,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302572
22,CHANDIGARH MC WARD NO 22,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302573
23,CHANDIGARH MC WARD NO 23,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302574
24,CHANDIGARH MC WARD NO 24,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302575
25,CHANDIGARH MC WARD NO 25,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302576
26,CHANDIGARH MC WARD NO 26,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,1302577
27,CHANDIGARH MC WARD NO 27,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,2480402
28,CHANDIGARH MC WARD NO 28,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,2480403
29,CHANDIGARH MC WARD NO 29,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,2480404
30,CHANDIGARH MC WARD NO 30,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,2480405
31,CHANDIGARH MC WARD NO 31,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,2480406
32,CHANDIGARH MC WARD NO 32,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,2480407
33,CHANDIGARH MC WARD NO 33,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,2480408
34,CHANDIGARH MC WARD NO 34,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,2480409
35,CHANDIGARH MC WARD NO 35,Chandigarh,Municipal Corporation,Chandigarh,Chandigarh,2480410
