Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,NEHARU WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,32722
2,NAVIN WARD UTTAR,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,32723
3,P.DINDAYAL UPADHYAY WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,32724
4,SANJAY WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,32725
5,SHAHID ASFAQ ULLA WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,32726
6,RAJENDRA KUMAR SINGH WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,32727
7,SHAHID BHAGAT SINGH WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,32728
8,THAKUR CHHEDILAL BERISTER WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,32729
9,NETAJI SUBHASH CHANDRA WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,32730
10,MAHATMA GANDHI WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,32731
11,SARDAR PATEL WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,32732
12,LAL BAHADUR SHASTRI WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,32733
13,GURUGHASI DAS WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,32734
14,,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,32735
15,DR.AMBEDKAR WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,32736
16,INDIRA WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,1292218
17,MAHARANA PRATAP WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,1292219
18,RAJIV GANDHI WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,1292220
19,NAVIN WARD DAKSHIN,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,1292221
20,C.C.I. WARD,Akaltara,Municipality,Janjgir-champa,Chhattisgarh,1292222
1,Hanuman Dhara Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61683
2,Maa Bamleshwari Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61684
3,Ramsharan Singh Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61685
4,Jagannath math Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61686
5,Mahadev Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61687
6,Sonar Para Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61688
7,Tapsi Baba Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61689
8,Lakhanlal Dewangan Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61690
9,Noharlal Dewangan Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61691
10,Gaushala Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61692
11,Lakshmi Devi Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61693
12,Beldar Para Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61694
13,Ghoghra Nala Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61695
14,Prem Nagar Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61696
15,Pt. Din Dayal Upadhyay Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61697
16,Minimata Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61698
17,Railway Colony Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61699
18,Maa Samleshwari Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61700
19,Shaheed Smarak Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61701
20,Bisahu Das Mahant Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,61702
21,Gurunanak Ward,Champa,Municipality,Janjgir-champa,Chhattisgarh,1292002
