Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Ward No. 1,Delhi Cantonment Board,Cantonment Board,New Delhi,Delhi,1293209
2,Ward No. 2,Delhi Cantonment Board,Cantonment Board,New Delhi,Delhi,1293210
3,Ward No. 3,Delhi Cantonment Board,Cantonment Board,New Delhi,Delhi,1293211
4,Ward No. 4,Delhi Cantonment Board,Cantonment Board,New Delhi,Delhi,1293212
5,Ward No. 5,Delhi Cantonment Board,Cantonment Board,New Delhi,Delhi,1293213
6,Ward No. 6,Delhi Cantonment Board,Cantonment Board,New Delhi,Delhi,1293214
7,Ward No. 7,Delhi Cantonment Board,Cantonment Board,New Delhi,Delhi,1293215
8,Ward No. 8,Delhi Cantonment Board,Cantonment Board,New Delhi,Delhi,1293216
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289954
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289955
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289956
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289957
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289958
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289959
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289960
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289961
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289962
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289963
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289964
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289965
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289966
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289967
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289968
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289969
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289970
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289971
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289972
,,South Delhi Municipal Corporation,Municipal Corporation,New Delhi,Delhi,1289973
