Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Canacona (M Cl) - Ward No.1,Canacona,Municipality,South Goa,Goa,1626
2,Canacona (M Cl) - Ward No.2,Canacona,Municipality,South Goa,Goa,1627
3,Canacona (M Cl) - Ward No.3,Canacona,Municipality,South Goa,Goa,1628
4,Canacona (M Cl) - Ward No.4,Canacona,Municipality,South Goa,Goa,1629
5,Canacona (M Cl) - Ward No.5,Canacona,Municipality,South Goa,Goa,1630
6,Canacona (M Cl) - Ward No.6,Canacona,Municipality,South Goa,Goa,1631
7,Canacona (M Cl) - Ward No.7,Canacona,Municipality,South Goa,Goa,1632
8,Canacona (M Cl) - Ward No.8,Canacona,Municipality,South Goa,Goa,1633
9,Canacona (M Cl) - Ward No.9,Canacona,Municipality,South Goa,Goa,1634
10,Canacona (M Cl) - Ward No.10,Canacona,Municipality,South Goa,Goa,1635
1,Cuncolim (M Cl) - Ward No.1,Cuncolim,Municipality,South Goa,Goa,1614
2,Cuncolim (M Cl) - Ward No.2,Cuncolim,Municipality,South Goa,Goa,1615
3,Cuncolim (M Cl) - Ward No.3,Cuncolim,Municipality,South Goa,Goa,1616
4,Cuncolim (M Cl) - Ward No.4,Cuncolim,Municipality,South Goa,Goa,1617
5,Cuncolim (M Cl) - Ward No.5,Cuncolim,Municipality,South Goa,Goa,1618
6,Cuncolim (M Cl) - Ward No.6,Cuncolim,Municipality,South Goa,Goa,1619
7,Cuncolim (M Cl) - Ward No.7,Cuncolim,Municipality,South Goa,Goa,1620
8,Cuncolim (M Cl) - Ward No.8,Cuncolim,Municipality,South Goa,Goa,1621
9,Cuncolim (M Cl) - Ward No.9,Cuncolim,Municipality,South Goa,Goa,1622
10,Cuncolim (M Cl) - Ward No.10,Cuncolim,Municipality,South Goa,Goa,1623
11,Cuncolim (M CI)- Ward No. 11,Cuncolim,Municipality,South Goa,Goa,1307283
12,Cuncolim (M CI)- Ward No. 12,Cuncolim,Municipality,South Goa,Goa,1307284
1,Curchorem Cacora (M Cl) - Ward No.1,Curchorem Cacora,Municipality,South Goa,Goa,37268
2,Curchorem Cacora (M Cl) - Ward No.2,Curchorem Cacora,Municipality,South Goa,Goa,37372
3,Curchorem Cacora (M Cl) - Ward No.3,Curchorem Cacora,Municipality,South Goa,Goa,37373
