Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Anand (M) - Ward No.1,Anand,Municipality,Anand,Gujarat,67080
2,Anand (M) - Ward No.2,Anand,Municipality,Anand,Gujarat,67081
3,Anand (M) - Ward No.3,Anand,Municipality,Anand,Gujarat,67082
4,Anand (M) - Ward No.4,Anand,Municipality,Anand,Gujarat,67083
5,Anand (M) - Ward No.5,Anand,Municipality,Anand,Gujarat,67084
6,Anand (M) - Ward No.6,Anand,Municipality,Anand,Gujarat,67085
7,Anand (M) - Ward No.7,Anand,Municipality,Anand,Gujarat,67086
8,Anand (M) - Ward No.8,Anand,Municipality,Anand,Gujarat,67087
9,Anand (M) - Ward No.9,Anand,Municipality,Anand,Gujarat,67088
10,Anand (M) - Ward No.10,Anand,Municipality,Anand,Gujarat,67089
11,Anand (M) - Ward No.11,Anand,Municipality,Anand,Gujarat,67090
12,Anand (M) - Ward No.12,Anand,Municipality,Anand,Gujarat,67091
13,Anand (M) - Ward No.13,Anand,Municipality,Anand,Gujarat,67092
1,Anklav (M) - Ward No.1,Anklav,Municipality,Anand,Gujarat,35040
2,Anklav (M) - Ward No.2,Anklav,Municipality,Anand,Gujarat,35041
3,Anklav (M) - Ward No.3,Anklav,Municipality,Anand,Gujarat,35042
4,Anklav (M) - Ward No.4,Anklav,Municipality,Anand,Gujarat,35043
5,Anklav (M) - Ward No.5,Anklav,Municipality,Anand,Gujarat,35044
6,Anklav (M) - Ward No.6,Anklav,Municipality,Anand,Gujarat,35045
1,Boriavi (M) - Ward No.1,Boriavi,Municipality,Anand,Gujarat,34996
2,Boriavi (M) - Ward No.2,Boriavi,Municipality,Anand,Gujarat,34997
3,Boriavi (M) - Ward No.3,Boriavi,Municipality,Anand,Gujarat,34998
4,Boriavi (M) - Ward No.4,Boriavi,Municipality,Anand,Gujarat,34999
5,Boriavi (M) - Ward No.5,Boriavi,Municipality,Anand,Gujarat,35000
6,Boriavi (M) - Ward No.6,Boriavi,Municipality,Anand,Gujarat,35001
1,Borsad (M) - Ward No.1,Borsad,Municipality,Anand,Gujarat,35030
2,Borsad (M) - Ward No.2,Borsad,Municipality,Anand,Gujarat,35031
3,Borsad (M) - Ward No.3,Borsad,Municipality,Anand,Gujarat,35032
4,Borsad (M) - Ward No.4,Borsad,Municipality,Anand,Gujarat,35033
5,Borsad (M) - Ward No.5,Borsad,Municipality,Anand,Gujarat,35034
6,Borsad (M) - Ward No.6,Borsad,Municipality,Anand,Gujarat,35035
7,Borsad (M) - Ward No.7,Borsad,Municipality,Anand,Gujarat,35036
8,Borsad (M) - Ward No.8,Borsad,Municipality,Anand,Gujarat,35037
9,Borsad (M) - Ward No.9,Borsad,Municipality,Anand,Gujarat,35038
1,Karamsad (M) - Ward No.1,Karamsad,Municipality,Anand,Gujarat,35010
2,Karamsad (M) - Ward No.2,Karamsad,Municipality,Anand,Gujarat,35011
3,Karamsad (M) - Ward No.3,Karamsad,Municipality,Anand,Gujarat,35012
4,Karamsad (M) - Ward No.4,Karamsad,Municipality,Anand,Gujarat,35013
5,Karamsad (M) - Ward No.5,Karamsad,Municipality,Anand,Gujarat,35014
6,Karamsad (M) - Ward No.6,Karamsad,Municipality,Anand,Gujarat,35015
7,Karamsad (M) - Ward No.7,Karamsad,Municipality,Anand,Gujarat,35016
1,Khambhat (M) - Ward No.1,Khambhat,Municipality,Anand,Gujarat,67098
2,Khambhat (M) - Ward No.2,Khambhat,Municipality,Anand,Gujarat,67099
3,Khambhat (M) - Ward No.3,Khambhat,Municipality,Anand,Gujarat,67100
4,Khambhat (M) - Ward No.4,Khambhat,Municipality,Anand,Gujarat,67101
5,Khambhat (M) - Ward No.5,Khambhat,Municipality,Anand,Gujarat,67102
6,Khambhat (M) - Ward No.6,Khambhat,Municipality,Anand,Gujarat,67103
7,Khambhat (M) - Ward No.7,Khambhat,Municipality,Anand,Gujarat,67104
8,Khambhat (M) - Ward No.8,Khambhat,Municipality,Anand,Gujarat,67105
9,Khambhat (M) - Ward No.9,Khambhat,Municipality,Anand,Gujarat,67106
1,Ode (M) - Ward No.1,Ode,Municipality,Anand,Gujarat,67073
2,Ode (M) - Ward No.2,Ode,Municipality,Anand,Gujarat,67074
3,Ode (M) - Ward No.3,Ode,Municipality,Anand,Gujarat,67075
4,Ode (M) - Ward No.4,Ode,Municipality,Anand,Gujarat,67076
5,Ode (M) - Ward No.5,Ode,Municipality,Anand,Gujarat,67077
6,Ode (M) - Ward No.6,Ode,Municipality,Anand,Gujarat,67078
1,Petlad (M) - Ward No.1,Petlad,Municipality,Anand,Gujarat,35018
2,Petlad (M) - Ward No.2,Petlad,Municipality,Anand,Gujarat,35019
3,Petlad (M) - Ward No.3,Petlad,Municipality,Anand,Gujarat,35020
4,Petlad (M) - Ward No.4,Petlad,Municipality,Anand,Gujarat,35021
5,Petlad (M) - Ward No.5,Petlad,Municipality,Anand,Gujarat,35022
6,Petlad (M) - Ward No.6,Petlad,Municipality,Anand,Gujarat,35023
7,Petlad (M) - Ward No.7,Petlad,Municipality,Anand,Gujarat,35024
8,Petlad (M) - Ward No.8,Petlad,Municipality,Anand,Gujarat,35025
9,Petlad (M) - Ward No.9,Petlad,Municipality,Anand,Gujarat,35026
1,Mahuva (M) - Ward No.1,Sojitra,Municipality,Anand,Gujarat,34881
2,Mahuva (M) - Ward No.2,Sojitra,Municipality,Anand,Gujarat,34973
3,Mahuva (M) - Ward No.3,Sojitra,Municipality,Anand,Gujarat,34975
4,Mahuva (M) - Ward No.4,Sojitra,Municipality,Anand,Gujarat,34977
5,Mahuva (M) - Ward No.5,Sojitra,Municipality,Anand,Gujarat,34979
6,Mahuva (M) - Ward No.6,Sojitra,Municipality,Anand,Gujarat,34981
1,Umreth (M) - Ward No.1,Umreth,Municipality,Anand,Gujarat,67064
2,Umreth (M) - Ward No.2,Umreth,Municipality,Anand,Gujarat,67065
3,Umreth (M) - Ward No.3,Umreth,Municipality,Anand,Gujarat,67066
4,Umreth (M) - Ward No.4,Umreth,Municipality,Anand,Gujarat,67067
5,Umreth (M) - Ward No.5,Umreth,Municipality,Anand,Gujarat,67068
6,Umreth (M) - Ward No.6,Umreth,Municipality,Anand,Gujarat,67069
7,Umreth (M) - Ward No.7,Umreth,Municipality,Anand,Gujarat,67070
1,Vallabh Vidyanagar (M) - Ward No.1,Vallabh Vidyanagar,Municipality,Anand,Gujarat,35003
2,Vallabh Vidyanagar (M) - Ward No.2,Vallabh Vidyanagar,Municipality,Anand,Gujarat,35004
3,Vallabh Vidyanagar (M) - Ward No.3,Vallabh Vidyanagar,Municipality,Anand,Gujarat,35005
4,Vallabh Vidyanagar (M) - Ward No.4,Vallabh Vidyanagar,Municipality,Anand,Gujarat,35006
5,Vallabh Vidyanagar (M) - Ward No.5,Vallabh Vidyanagar,Municipality,Anand,Gujarat,35007
6,Vallabh Vidyanagar (M) - Ward No.6,Vallabh Vidyanagar,Municipality,Anand,Gujarat,35008
1,"Gota, Ahmedabad (M.Corp.) Ward No. 1",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302501
2,"Chandlodiya, Ahmedabad (M.Corp.) Ward No. 2",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302502
3,"Chandkheda, Ahmedabad (M.Corp.) Ward No. 3",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302503
4,"Sabarmati, Ahmedabad (M.Corp.) Ward No. 4",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302504
5,"Ranip, Ahmedabad (M.Corp.) Ward No. 5",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302505
6,"Nava Vadaj, Ahmedabad (M.Corp.) Ward No. 6",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302506
7,"Ghatlodiya, Ahmedabad (M.Corp.) Ward No. 7",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302507
8,"Thaltej, Ahmedabad (M.Corp.) Ward No. 8",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302508
9,"Naranpura, Ahmedabad (M.Corp.) Ward No. 9",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302509
10,"Sardar Patel Stadium, Ahmedabad (M.Corp.) Ward No. 10",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302510
11,"Sardarnagar, Ahmedabad (M.Corp.) Ward No. 11",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302511
12,"Naroda, Ahmedabad (M.Corp.) Ward No. 12",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302512
13,"Saijpur Bogha, Ahmedabad (M.Corp.) Ward No. 13",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302513
14,"Kubernagar, Ahmedabad (M.Corp.) Ward No. 14",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302514
15,"Asarva, Ahmedabad (M.Corp.) Ward No. 15",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302515
16,"Shahibag, Ahmedabad (M.Corp.) Ward No. 16",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302516
17,"Shapur, Ahmedabad (M.Corp.) Ward No. 17",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302517
18,"Navrangpura, Ahmedabad (M.Corp.) Ward No. 18",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302518
19,"Bodakdev, Ahmedabad (M.Corp.) Ward No. 19",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302519
20,"Jodhpur, Ahmedabad (M.Corp.) Ward No. 20",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302520
21,"Dariyapur, Ahmedabad (M.Corp.) Ward No. 21",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302521
22,"India colony, Ahmedabad (M.Corp.) Ward No. 22",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302522
23,"Thakkarbapa Nagar, Ahmedabad (M.Corp.) Ward No. 23",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302523
24,"Nikol, Ahmedabad (M.Corp.) Ward No. 24",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302524
25,"viratnagar, Ahmedabad (M.Corp.) Ward No. 25",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302525
26,"Bapurnagar, Ahmedabad (M.Corp.) Ward No. 26",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302526
27,"Sarsapur Rakhiyal, Ahmedabad (M.Corp.) Ward No. 27",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302527
28,"Khadiya, Ahmedabad (M.Corp.) Ward No. 28",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302528
29,"Jamalpur, Ahmedabad (M.Corp.) Ward No. 29",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302529
30,"Paldi, Ahmedabad (M.Corp.) Ward No. 30",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302530
31,"Vasana, Ahmedabad (M.Corp.) Ward No. 31",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302531
32,"Vejalpur, Ahmedabad (M.Corp.) Ward No. 32",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302532
33,"Vejalpur, Ahmedabad (M.Corp.) Ward No. 33",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302533
34,"Maktampura, Ahmedabad (M.Corp.) Ward No. 34",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302534
35,"Baherampura, Ahmedabad (M.Corp.) Ward No. 35",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302535
36,"Danilimda, Ahmedabad (M.Corp.) Ward No. 36",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302536
37,"Maninagar, Ahmedabad (M.Corp.) Ward No. 37",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302537
38,"Gomtipur, Ahmedabad (M.Corp.) Ward No. 38",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302538
39,"Amraivadi, Ahmedabad (M.Corp.) Ward No. 39",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302539
40,"Odhav, Ahmedabad (M.Corp.) Ward No. 40",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302540
41,"Vastral, Ahmedabad (M.Corp.) Ward No. 41",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302541
42,"Indrapuri, Ahmedabad (M.Corp.) Ward No. 42",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302542
43,"Bhaipura Hatkeswar, Ahmedabad (M.Corp.) Ward No. 43",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302543
44,"Khokhra, Ahmedabad (M.Corp.) Ward No. 44",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302544
45,"Isanpur, Ahmedabad (M.Corp.) Ward No. 45",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302545
46,"Lambha, Ahmedabad (M.Corp.) Ward No. 46",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302546
47,"Vatava, Ahmedabad (M.Corp.) Ward No. 47",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302547
48,"Ramol Hathijan, Ahmedabad (M.Corp.) Ward No. 48",Ahmadabad,Municipal Corporation,Ahmadabad,Gujarat,1302548
1,Bareja (M) - Ward No.1,Bareja,Municipality,Ahmadabad,Gujarat,1301310
