Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Karnal (M Cl ) - Ward No.1,Karnal,Municipal Corporation,Karnal,Haryana,63945
2,Karnal (M Cl ) - Ward No.2,Karnal,Municipal Corporation,Karnal,Haryana,63946
3,Karnal (M Cl ) - Ward No.3,Karnal,Municipal Corporation,Karnal,Haryana,63947
4,Karnal (M Cl ) - Ward No.4,Karnal,Municipal Corporation,Karnal,Haryana,63948
5,Karnal (M Cl ) - Ward No.5,Karnal,Municipal Corporation,Karnal,Haryana,63949
6,Karnal (M Cl ) - Ward No.6,Karnal,Municipal Corporation,Karnal,Haryana,63950
7,Karnal (M Cl ) - Ward No.7,Karnal,Municipal Corporation,Karnal,Haryana,63951
8,Karnal (M Cl ) - Ward No.8,Karnal,Municipal Corporation,Karnal,Haryana,63952
9,Karnal (M Cl ) - Ward No.9,Karnal,Municipal Corporation,Karnal,Haryana,63953
10,Karnal (M Cl ) - Ward No.10,Karnal,Municipal Corporation,Karnal,Haryana,63954
11,Karnal (M Cl ) - Ward No.11,Karnal,Municipal Corporation,Karnal,Haryana,63955
12,Karnal (M Cl ) - Ward No.12,Karnal,Municipal Corporation,Karnal,Haryana,63956
13,Karnal (M Cl ) - Ward No.13,Karnal,Municipal Corporation,Karnal,Haryana,63957
14,Karnal (M Cl ) - Ward No.14,Karnal,Municipal Corporation,Karnal,Haryana,63958
15,Karnal (M Cl ) - Ward No.15,Karnal,Municipal Corporation,Karnal,Haryana,63959
16,Karnal (M Cl ) - Ward No.16,Karnal,Municipal Corporation,Karnal,Haryana,63960
17,Karnal (M Cl ) - Ward No.17,Karnal,Municipal Corporation,Karnal,Haryana,63961
18,Karnal (M Cl ) - Ward No.18,Karnal,Municipal Corporation,Karnal,Haryana,63962
19,Karnal (M Cl ) - Ward No.19,Karnal,Municipal Corporation,Karnal,Haryana,63963
20,Karnal (M Cl ) - Ward No.20,Karnal,Municipal Corporation,Karnal,Haryana,63964
1,Assandh (MC) - Ward No.1,Assandh,Municipality,Karnal,Haryana,16385
2,Assandh (MC) - Ward No.2,Assandh,Municipality,Karnal,Haryana,16386
3,Assandh (MC) - Ward No.3,Assandh,Municipality,Karnal,Haryana,16387
4,Assandh (MC) - Ward No.4,Assandh,Municipality,Karnal,Haryana,16388
5,Assandh (MC) - Ward No.5,Assandh,Municipality,Karnal,Haryana,16389
6,Assandh (MC) - Ward No.6,Assandh,Municipality,Karnal,Haryana,16390
7,Assandh (MC) - Ward No.7,Assandh,Municipality,Karnal,Haryana,16391
8,Assandh (MC) - Ward No.8,Assandh,Municipality,Karnal,Haryana,16392
9,Assandh (MC) - Ward No.9,Assandh,Municipality,Karnal,Haryana,16393
10,Assandh (MC) - Ward No.10,Assandh,Municipality,Karnal,Haryana,16394
11,Assandh (MC) - Ward No.11,Assandh,Municipality,Karnal,Haryana,16395
12,Assandh (MC) - Ward No.12,Assandh,Municipality,Karnal,Haryana,16396
13,Assandh (MC) - Ward No.13,Assandh,Municipality,Karnal,Haryana,16397
14,Assandh (MC) - Ward No.14,Assandh,Municipality,Karnal,Haryana,1302113
15,Assandh (MC) - Ward No.15,Assandh,Municipality,Karnal,Haryana,1302114
1,Gharaunda (MC) - Ward No.1,Gharaunda,Municipality,Karnal,Haryana,16398
2,Gharaunda (MC) - Ward No.2,Gharaunda,Municipality,Karnal,Haryana,16399
3,Gharaunda (MC) - Ward No.3,Gharaunda,Municipality,Karnal,Haryana,16400
4,Gharaunda (MC) - Ward No.4,Gharaunda,Municipality,Karnal,Haryana,16401
5,Gharaunda (MC) - Ward No.5,Gharaunda,Municipality,Karnal,Haryana,16402
6,Gharaunda (MC) - Ward No.6,Gharaunda,Municipality,Karnal,Haryana,16403
7,Gharaunda (MC) - Ward No.7,Gharaunda,Municipality,Karnal,Haryana,16404
8,Gharaunda (MC) - Ward No.8,Gharaunda,Municipality,Karnal,Haryana,16405
9,Gharaunda (MC) - Ward No.9,Gharaunda,Municipality,Karnal,Haryana,16406
10,Gharaunda (MC) - Ward No.10,Gharaunda,Municipality,Karnal,Haryana,16407
11,Gharaunda (MC) - Ward No.11,Gharaunda,Municipality,Karnal,Haryana,16408
12,Gharaunda (MC) - Ward No.12,Gharaunda,Municipality,Karnal,Haryana,16409
13,Gharaunda (MC) - Ward No.13,Gharaunda,Municipality,Karnal,Haryana,16410
14,Gharaunda (MC) - Ward No.14,Gharaunda,Municipality,Karnal,Haryana,16411
15,Gharaunda (MC) - Ward No.15,Gharaunda,Municipality,Karnal,Haryana,16412
16,Gharaunda (MC) - Ward No. 16,Gharaunda,Municipality,Karnal,Haryana,1302093
17,Gharaunda (MC) - Ward No. 17,Gharaunda,Municipality,Karnal,Haryana,1302094
1,Indri (MC) - Ward No.1,Indri,Municipality,Karnal,Haryana,16251
2,Indri (MC) - Ward No.2,Indri,Municipality,Karnal,Haryana,16252
3,Indri (MC) - Ward No.3,Indri,Municipality,Karnal,Haryana,16253
4,Indri (MC) - Ward No.4,Indri,Municipality,Karnal,Haryana,16254
5,Indri (MC) - Ward No.5,Indri,Municipality,Karnal,Haryana,16255
6,Indri (MC) - Ward No.6,Indri,Municipality,Karnal,Haryana,16256
7,Indri (MC) - Ward No.7,Indri,Municipality,Karnal,Haryana,16257
8,Indri (MC) - Ward No.8,Indri,Municipality,Karnal,Haryana,16258
9,Indri (MC) - Ward No.9,Indri,Municipality,Karnal,Haryana,16259
10,Indri (MC) - Ward No.10,Indri,Municipality,Karnal,Haryana,16260
11,Indri (MC) - Ward No.11,Indri,Municipality,Karnal,Haryana,16261
12,Indri (MC) - Ward No.12,Indri,Municipality,Karnal,Haryana,16262
13,Indri (MC) - Ward No.13,Indri,Municipality,Karnal,Haryana,16263
1,Nilokheri (MC) - Ward No.1,Nilokheri,Municipality,Karnal,Haryana,64870
2,Nilokheri (MC) - Ward No.2,Nilokheri,Municipality,Karnal,Haryana,64871
3,Nilokheri (MC) - Ward No.3,Nilokheri,Municipality,Karnal,Haryana,64872
4,Nilokheri (MC) - Ward No.4,Nilokheri,Municipality,Karnal,Haryana,64873
5,Nilokheri (MC) - Ward No.5,Nilokheri,Municipality,Karnal,Haryana,64874
6,Nilokheri (MC) - Ward No.6,Nilokheri,Municipality,Karnal,Haryana,64875
7,Nilokheri (MC) - Ward No.7,Nilokheri,Municipality,Karnal,Haryana,64876
8,Nilokheri (MC) - Ward No.8,Nilokheri,Municipality,Karnal,Haryana,64877
9,Nilokheri (MC) - Ward No.9,Nilokheri,Municipality,Karnal,Haryana,64878
10,Nilokheri (MC) - Ward No.10,Nilokheri,Municipality,Karnal,Haryana,64879
11,Nilokheri (MC) - Ward No.11,Nilokheri,Municipality,Karnal,Haryana,64880
12,Nilokheri (MC) - Ward No.12,Nilokheri,Municipality,Karnal,Haryana,64881
13,Nilokheri (MC) - Ward No.13,Nilokheri,Municipality,Karnal,Haryana,64882
