Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Shimla (M Corp.) - Ward No.1,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68523
2,Shimla (M Corp.) - Ward No.2,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68524
3,Shimla (M Corp.) - Ward No.3,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68525
4,Shimla (M Corp.) - Ward No.4,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68526
5,Shimla (M Corp.) - Ward No.5,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68527
6,Shimla (M Corp.) - Ward No.6,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68528
7,Shimla (M Corp.) - Ward No.7,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68529
8,Shimla (M Corp.) - Ward No.8,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68530
9,Shimla (M Corp.) - Ward No.9,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68531
10,Shimla (M Corp.) - Ward No.10,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68532
11,Shimla (M Corp.) - Ward No.11,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68533
12,Shimla (M Corp.) - Ward No.12,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68534
13,Shimla (M Corp.) - Ward No.13,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68535
14,Shimla (M Corp.) - Ward No.14,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68536
15,Shimla (M Corp.) - Ward No.15,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68537
16,Shimla (M Corp.) - Ward No.16,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68538
17,Shimla (M Corp.) - Ward No.17,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68539
18,Shimla (M Corp.) - Ward No.18,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68540
19,Shimla (M Corp.) - Ward No.19,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68541
20,Shimla (M Corp.) - Ward No.20,Shimla,Municipal Corporation,Shimla,Himachal Pradesh,68542
