Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Achabal (MC) - Ward No.1,Municipal Committee Achabal,Municipality,Anantnag,Jammu And Kashmir,10765
2,Achabal (MC) - Ward No.2,Municipal Committee Achabal,Municipality,Anantnag,Jammu And Kashmir,10766
3,Achabal (MC) - Ward No.3,Municipal Committee Achabal,Municipality,Anantnag,Jammu And Kashmir,10767
4,Achabal (MC) - Ward No.4,Municipal Committee Achabal,Municipality,Anantnag,Jammu And Kashmir,10768
5,Achabal (MC) - Ward No.5,Municipal Committee Achabal,Municipality,Anantnag,Jammu And Kashmir,10769
6,Achabal (MC) - Ward No.6,Municipal Committee Achabal,Municipality,Anantnag,Jammu And Kashmir,10770
7,Achabal (MC) - Ward No.7,Municipal Committee Achabal,Municipality,Anantnag,Jammu And Kashmir,10771
8,Achabal (MC) - Ward No.8,Municipal Committee Achabal,Municipality,Anantnag,Jammu And Kashmir,10772
1,Ashmuqam (MC) - Ward No.1,Municipal Committee Ashmuqam,Municipality,Anantnag,Jammu And Kashmir,2243565
2,Ashmuqam (MC) - Ward No.2,Municipal Committee Ashmuqam,Municipality,Anantnag,Jammu And Kashmir,2243566
3,Ashmuqam (MC) - Ward No.3,Municipal Committee Ashmuqam,Municipality,Anantnag,Jammu And Kashmir,2243567
4,Ashmuqam (MC) - Ward No.4,Municipal Committee Ashmuqam,Municipality,Anantnag,Jammu And Kashmir,2243568
5,Ashmuqam (MC) - Ward No.5,Municipal Committee Ashmuqam,Municipality,Anantnag,Jammu And Kashmir,2243569
6,Ashmuqam (MC) - Ward No.6,Municipal Committee Ashmuqam,Municipality,Anantnag,Jammu And Kashmir,2243570
7,Ashmuqam (MC) - Ward No.7,Municipal Committee Ashmuqam,Municipality,Anantnag,Jammu And Kashmir,2243571
8,Ashmuqam (MC) - Ward No.8,Municipal Committee Ashmuqam,Municipality,Anantnag,Jammu And Kashmir,2243572
9,Ashmuqam (MC) - Ward No.9,Municipal Committee Ashmuqam,Municipality,Anantnag,Jammu And Kashmir,2243573
