Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Medininagar (M) - Ward No.1,Medininagar,Municipal Corporation,Palamu,Jharkhand,18197
2,Medininagar (M) - Ward No.2,Medininagar,Municipal Corporation,Palamu,Jharkhand,18198
3,Medininagar (M) - Ward No.3,Medininagar,Municipal Corporation,Palamu,Jharkhand,18199
4,Medininagar (M) - Ward No.4,Medininagar,Municipal Corporation,Palamu,Jharkhand,18200
5,Medininagar (M) - Ward No.5,Medininagar,Municipal Corporation,Palamu,Jharkhand,18201
6,Medininagar (M) - Ward No.6,Medininagar,Municipal Corporation,Palamu,Jharkhand,18202
7,Medininagar (M) - Ward No.7,Medininagar,Municipal Corporation,Palamu,Jharkhand,18203
8,Medininagar (M) - Ward No.8,Medininagar,Municipal Corporation,Palamu,Jharkhand,18204
9,Medininagar (M) - Ward No.9,Medininagar,Municipal Corporation,Palamu,Jharkhand,18205
10,Medininagar (M) - Ward No.10,Medininagar,Municipal Corporation,Palamu,Jharkhand,18206
11,Medininagar (M) - Ward No.11,Medininagar,Municipal Corporation,Palamu,Jharkhand,18207
12,Medininagar (M) - Ward No.12,Medininagar,Municipal Corporation,Palamu,Jharkhand,18208
13,Medininagar (M) - Ward No.13,Medininagar,Municipal Corporation,Palamu,Jharkhand,18209
14,Medininagar (M) - Ward No.14,Medininagar,Municipal Corporation,Palamu,Jharkhand,18210
15,Medininagar (M) - Ward No.15,Medininagar,Municipal Corporation,Palamu,Jharkhand,18776
16,Medininagar (M) - Ward No.16,Medininagar,Municipal Corporation,Palamu,Jharkhand,18777
17,Medininagar (M) - Ward No.17,Medininagar,Municipal Corporation,Palamu,Jharkhand,18778
18,Medininagar (M) - Ward No.18,Medininagar,Municipal Corporation,Palamu,Jharkhand,1010993
19,Medininagar (M) - Ward No.19,Medininagar,Municipal Corporation,Palamu,Jharkhand,1010994
20,Medininagar (M) - Ward No.20,Medininagar,Municipal Corporation,Palamu,Jharkhand,1010995
21,Medininagar (M) - Ward No.21,Medininagar,Municipal Corporation,Palamu,Jharkhand,1010996
