Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Gokak (CMC) - Ward No.1,Gokak,City Municipal Council,Belagavi,Karnataka,24759
2,Gokak (CMC) - Ward No.2,Gokak,City Municipal Council,Belagavi,Karnataka,24760
3,Gokak (CMC) - Ward No.3,Gokak,City Municipal Council,Belagavi,Karnataka,24761
4,Gokak (CMC) - Ward No.4,Gokak,City Municipal Council,Belagavi,Karnataka,24762
5,Gokak (CMC) - Ward No.5,Gokak,City Municipal Council,Belagavi,Karnataka,24763
6,Gokak (CMC) - Ward No.6,Gokak,City Municipal Council,Belagavi,Karnataka,24764
7,Gokak (CMC) - Ward No.7,Gokak,City Municipal Council,Belagavi,Karnataka,24765
8,Gokak (CMC) - Ward No.8,Gokak,City Municipal Council,Belagavi,Karnataka,24766
9,Gokak (CMC) - Ward No.9,Gokak,City Municipal Council,Belagavi,Karnataka,24767
10,Gokak (CMC) - Ward No.10,Gokak,City Municipal Council,Belagavi,Karnataka,24768
11,Gokak (CMC) - Ward No.11,Gokak,City Municipal Council,Belagavi,Karnataka,24769
12,Gokak (CMC) - Ward No.12,Gokak,City Municipal Council,Belagavi,Karnataka,24770
13,Gokak (CMC) - Ward No.13,Gokak,City Municipal Council,Belagavi,Karnataka,24771
14,Gokak (CMC) - Ward No.14,Gokak,City Municipal Council,Belagavi,Karnataka,24772
15,Gokak (CMC) - Ward No.15,Gokak,City Municipal Council,Belagavi,Karnataka,24773
16,Gokak (CMC) - Ward No.16,Gokak,City Municipal Council,Belagavi,Karnataka,24774
17,Gokak (CMC) - Ward No.17,Gokak,City Municipal Council,Belagavi,Karnataka,24775
18,Gokak (CMC) - Ward No.18,Gokak,City Municipal Council,Belagavi,Karnataka,24776
19,Gokak (CMC) - Ward No.19,Gokak,City Municipal Council,Belagavi,Karnataka,24777
20,Gokak (CMC) - Ward No.20,Gokak,City Municipal Council,Belagavi,Karnataka,24778
21,Gokak (CMC) - Ward No.21,Gokak,City Municipal Council,Belagavi,Karnataka,24779
22,Gokak (CMC) - Ward No.22,Gokak,City Municipal Council,Belagavi,Karnataka,24780
23,Gokak (CMC) - Ward No.23,Gokak,City Municipal Council,Belagavi,Karnataka,24781
24,Gokak (CMC) - Ward No.24,Gokak,City Municipal Council,Belagavi,Karnataka,24782
25,Gokak (CMC) - Ward No.25,Gokak,City Municipal Council,Belagavi,Karnataka,24783
26,Gokak (CMC) - Ward No.26,Gokak,City Municipal Council,Belagavi,Karnataka,24784
27,Gokak (CMC) - Ward No.27,Gokak,City Municipal Council,Belagavi,Karnataka,24785
28,Gokak (CMC) - Ward No.28,Gokak,City Municipal Council,Belagavi,Karnataka,24786
29,Gokak (CMC) - Ward No.29,Gokak,City Municipal Council,Belagavi,Karnataka,25441
30,Gokak (CMC) - Ward No.30,Gokak,City Municipal Council,Belagavi,Karnataka,25442
31,Gokak (CMC) - Ward No.31,Gokak,City Municipal Council,Belagavi,Karnataka,25443
1,Nipani (CMC) - Ward No.1,Nipani,City Municipal Council,Belagavi,Karnataka,24434
2,Nipani (CMC) - Ward No.2,Nipani,City Municipal Council,Belagavi,Karnataka,24435
3,Nipani (CMC) - Ward No.3,Nipani,City Municipal Council,Belagavi,Karnataka,24436
4,Nipani (CMC) - Ward No.4,Nipani,City Municipal Council,Belagavi,Karnataka,24437
5,Nipani (CMC) - Ward No.5,Nipani,City Municipal Council,Belagavi,Karnataka,24438
6,Nipani (CMC) - Ward No.6,Nipani,City Municipal Council,Belagavi,Karnataka,24439
7,Nipani (CMC) - Ward No.7,Nipani,City Municipal Council,Belagavi,Karnataka,24440
8,Nipani (CMC) - Ward No.8,Nipani,City Municipal Council,Belagavi,Karnataka,24441
9,Nipani (CMC) - Ward No.9,Nipani,City Municipal Council,Belagavi,Karnataka,24442
10,Nipani (CMC) - Ward No.10,Nipani,City Municipal Council,Belagavi,Karnataka,24443
11,Nipani (CMC) - Ward No.11,Nipani,City Municipal Council,Belagavi,Karnataka,24444
12,Nipani (CMC) - Ward No.12,Nipani,City Municipal Council,Belagavi,Karnataka,24445
13,Nipani (CMC) - Ward No.13,Nipani,City Municipal Council,Belagavi,Karnataka,24446
14,Nipani (CMC) - Ward No.14,Nipani,City Municipal Council,Belagavi,Karnataka,24447
15,Nipani (CMC) - Ward No.15,Nipani,City Municipal Council,Belagavi,Karnataka,24448
16,Nipani (CMC) - Ward No.16,Nipani,City Municipal Council,Belagavi,Karnataka,24449
17,Nipani (CMC) - Ward No.17,Nipani,City Municipal Council,Belagavi,Karnataka,24450
18,Nipani (CMC) - Ward No.18,Nipani,City Municipal Council,Belagavi,Karnataka,24451
19,Nipani (CMC) - Ward No.19,Nipani,City Municipal Council,Belagavi,Karnataka,24452
20,Nipani (CMC) - Ward No.20,Nipani,City Municipal Council,Belagavi,Karnataka,24453
21,Nipani (CMC) - Ward No.21,Nipani,City Municipal Council,Belagavi,Karnataka,24454
22,Nipani (CMC) - Ward No.22,Nipani,City Municipal Council,Belagavi,Karnataka,24455
23,Nipani (CMC) - Ward No.23,Nipani,City Municipal Council,Belagavi,Karnataka,24456
24,Nipani (CMC) - Ward No.24,Nipani,City Municipal Council,Belagavi,Karnataka,24457
25,Nipani (CMC) - Ward No.25,Nipani,City Municipal Council,Belagavi,Karnataka,24458
26,Nipani (CMC) - Ward No.26,Nipani,City Municipal Council,Belagavi,Karnataka,24459
27,Nipani (CMC) - Ward No.27,Nipani,City Municipal Council,Belagavi,Karnataka,24460
