Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,,Kochi,Municipal Corporation,Ernakulam,Kerala,56186
2,,Kochi,Municipal Corporation,Ernakulam,Kerala,56187
3,,Kochi,Municipal Corporation,Ernakulam,Kerala,56188
4,,Kochi,Municipal Corporation,Ernakulam,Kerala,56189
5,,Kochi,Municipal Corporation,Ernakulam,Kerala,56190
6,,Kochi,Municipal Corporation,Ernakulam,Kerala,56191
7,,Kochi,Municipal Corporation,Ernakulam,Kerala,56192
8,,Kochi,Municipal Corporation,Ernakulam,Kerala,56193
9,,Kochi,Municipal Corporation,Ernakulam,Kerala,56194
10,,Kochi,Municipal Corporation,Ernakulam,Kerala,56195
11,,Kochi,Municipal Corporation,Ernakulam,Kerala,56196
12,,Kochi,Municipal Corporation,Ernakulam,Kerala,56197
13,,Kochi,Municipal Corporation,Ernakulam,Kerala,56198
14,,Kochi,Municipal Corporation,Ernakulam,Kerala,56199
15,,Kochi,Municipal Corporation,Ernakulam,Kerala,56200
16,,Kochi,Municipal Corporation,Ernakulam,Kerala,56201
17,,Kochi,Municipal Corporation,Ernakulam,Kerala,56202
18,,Kochi,Municipal Corporation,Ernakulam,Kerala,56203
19,,Kochi,Municipal Corporation,Ernakulam,Kerala,56204
20,,Kochi,Municipal Corporation,Ernakulam,Kerala,56205
21,,Kochi,Municipal Corporation,Ernakulam,Kerala,56206
22,,Kochi,Municipal Corporation,Ernakulam,Kerala,56207
23,,Kochi,Municipal Corporation,Ernakulam,Kerala,56208
24,,Kochi,Municipal Corporation,Ernakulam,Kerala,56209
25,,Kochi,Municipal Corporation,Ernakulam,Kerala,56210
26,,Kochi,Municipal Corporation,Ernakulam,Kerala,56211
27,,Kochi,Municipal Corporation,Ernakulam,Kerala,56212
28,,Kochi,Municipal Corporation,Ernakulam,Kerala,56213
29,,Kochi,Municipal Corporation,Ernakulam,Kerala,56214
30,,Kochi,Municipal Corporation,Ernakulam,Kerala,56215
31,,Kochi,Municipal Corporation,Ernakulam,Kerala,56216
32,,Kochi,Municipal Corporation,Ernakulam,Kerala,56217
33,,Kochi,Municipal Corporation,Ernakulam,Kerala,56218
34,,Kochi,Municipal Corporation,Ernakulam,Kerala,56219
35,,Kochi,Municipal Corporation,Ernakulam,Kerala,56220
36,,Kochi,Municipal Corporation,Ernakulam,Kerala,56221
37,,Kochi,Municipal Corporation,Ernakulam,Kerala,56222
38,,Kochi,Municipal Corporation,Ernakulam,Kerala,56223
39,,Kochi,Municipal Corporation,Ernakulam,Kerala,56224
40,,Kochi,Municipal Corporation,Ernakulam,Kerala,56225
41,,Kochi,Municipal Corporation,Ernakulam,Kerala,56226
42,,Kochi,Municipal Corporation,Ernakulam,Kerala,77609
43,,Kochi,Municipal Corporation,Ernakulam,Kerala,77610
44,,Kochi,Municipal Corporation,Ernakulam,Kerala,77611
45,,Kochi,Municipal Corporation,Ernakulam,Kerala,77612
46,,Kochi,Municipal Corporation,Ernakulam,Kerala,77613
47,,Kochi,Municipal Corporation,Ernakulam,Kerala,77614
48,,Kochi,Municipal Corporation,Ernakulam,Kerala,77615
49,,Kochi,Municipal Corporation,Ernakulam,Kerala,77616
50,,Kochi,Municipal Corporation,Ernakulam,Kerala,77617
51,,Kochi,Municipal Corporation,Ernakulam,Kerala,77618
52,,Kochi,Municipal Corporation,Ernakulam,Kerala,77619
53,,Kochi,Municipal Corporation,Ernakulam,Kerala,77620
54,,Kochi,Municipal Corporation,Ernakulam,Kerala,77621
55,,Kochi,Municipal Corporation,Ernakulam,Kerala,77622
56,,Kochi,Municipal Corporation,Ernakulam,Kerala,77623
57,,Kochi,Municipal Corporation,Ernakulam,Kerala,77624
58,,Kochi,Municipal Corporation,Ernakulam,Kerala,77625
59,,Kochi,Municipal Corporation,Ernakulam,Kerala,77626
60,,Kochi,Municipal Corporation,Ernakulam,Kerala,77627
61,,Kochi,Municipal Corporation,Ernakulam,Kerala,77628
62,,Kochi,Municipal Corporation,Ernakulam,Kerala,77629
63,,Kochi,Municipal Corporation,Ernakulam,Kerala,77630
64,,Kochi,Municipal Corporation,Ernakulam,Kerala,77631
65,,Kochi,Municipal Corporation,Ernakulam,Kerala,77632
66,,Kochi,Municipal Corporation,Ernakulam,Kerala,77633
67,,Kochi,Municipal Corporation,Ernakulam,Kerala,77634
68,,Kochi,Municipal Corporation,Ernakulam,Kerala,77635
69,,Kochi,Municipal Corporation,Ernakulam,Kerala,77636
70,,Kochi,Municipal Corporation,Ernakulam,Kerala,77637
71,,Kochi,Municipal Corporation,Ernakulam,Kerala,1294550
72,,Kochi,Municipal Corporation,Ernakulam,Kerala,1294551
73,,Kochi,Municipal Corporation,Ernakulam,Kerala,1294552
74,,Kochi,Municipal Corporation,Ernakulam,Kerala,1294553
1,,Aluva,Municipality,Ernakulam,Kerala,49285
2,,Aluva,Municipality,Ernakulam,Kerala,49286
3,,Aluva,Municipality,Ernakulam,Kerala,49287
4,,Aluva,Municipality,Ernakulam,Kerala,49288
5,,Aluva,Municipality,Ernakulam,Kerala,49289
6,,Aluva,Municipality,Ernakulam,Kerala,76778
7,,Aluva,Municipality,Ernakulam,Kerala,76779
8,,Aluva,Municipality,Ernakulam,Kerala,76780
9,,Aluva,Municipality,Ernakulam,Kerala,76781
10,,Aluva,Municipality,Ernakulam,Kerala,76782
11,,Aluva,Municipality,Ernakulam,Kerala,76783
12,,Aluva,Municipality,Ernakulam,Kerala,76784
13,,Aluva,Municipality,Ernakulam,Kerala,76785
14,,Aluva,Municipality,Ernakulam,Kerala,76786
15,,Aluva,Municipality,Ernakulam,Kerala,76787
16,,Aluva,Municipality,Ernakulam,Kerala,76788
17,,Aluva,Municipality,Ernakulam,Kerala,76789
18,,Aluva,Municipality,Ernakulam,Kerala,76790
19,,Aluva,Municipality,Ernakulam,Kerala,76791
20,,Aluva,Municipality,Ernakulam,Kerala,76792
21,,Aluva,Municipality,Ernakulam,Kerala,76793
22,,Aluva,Municipality,Ernakulam,Kerala,1294908
23,,Aluva,Municipality,Ernakulam,Kerala,1294909
24,,Aluva,Municipality,Ernakulam,Kerala,1294910
25,,Aluva,Municipality,Ernakulam,Kerala,1294911
26,,Aluva,Municipality,Ernakulam,Kerala,1294912
1,,Angamaly,Municipality,Ernakulam,Kerala,75926
2,,Angamaly,Municipality,Ernakulam,Kerala,75927
3,,Angamaly,Municipality,Ernakulam,Kerala,75928
4,,Angamaly,Municipality,Ernakulam,Kerala,75929
5,,Angamaly,Municipality,Ernakulam,Kerala,75930
6,,Angamaly,Municipality,Ernakulam,Kerala,75931
7,,Angamaly,Municipality,Ernakulam,Kerala,75932
8,,Angamaly,Municipality,Ernakulam,Kerala,75933
9,,Angamaly,Municipality,Ernakulam,Kerala,75934
10,,Angamaly,Municipality,Ernakulam,Kerala,75935
11,,Angamaly,Municipality,Ernakulam,Kerala,75936
12,,Angamaly,Municipality,Ernakulam,Kerala,75937
13,,Angamaly,Municipality,Ernakulam,Kerala,75938
14,,Angamaly,Municipality,Ernakulam,Kerala,75939
15,,Angamaly,Municipality,Ernakulam,Kerala,75940
16,SAMAJAM WARD,Angamaly,Municipality,Ernakulam,Kerala,75941
17,G WARD,Angamaly,Municipality,Ernakulam,Kerala,75942
18,,Angamaly,Municipality,Ernakulam,Kerala,75943
19,,Angamaly,Municipality,Ernakulam,Kerala,75944
20,,Angamaly,Municipality,Ernakulam,Kerala,75945
21,,Angamaly,Municipality,Ernakulam,Kerala,75946
22,,Angamaly,Municipality,Ernakulam,Kerala,75947
23,MYTHRI WARD,Angamaly,Municipality,Ernakulam,Kerala,75948
24,,Angamaly,Municipality,Ernakulam,Kerala,75949
25,TOWN WARD,Angamaly,Municipality,Ernakulam,Kerala,1294988
26,,Angamaly,Municipality,Ernakulam,Kerala,1294989
27,,Angamaly,Municipality,Ernakulam,Kerala,1294990
28,,Angamaly,Municipality,Ernakulam,Kerala,1294991
29,,Angamaly,Municipality,Ernakulam,Kerala,1294992
30,,Angamaly,Municipality,Ernakulam,Kerala,1294993
1,,Eloor,Municipality,Ernakulam,Kerala,49328
2,,Eloor,Municipality,Ernakulam,Kerala,49329
3,,Eloor,Municipality,Ernakulam,Kerala,49330
4,,Eloor,Municipality,Ernakulam,Kerala,49331
5,,Eloor,Municipality,Ernakulam,Kerala,49332
6,HEAD QUARTERS WARD,Eloor,Municipality,Ernakulam,Kerala,49333
7,ELANJIKKAL WARD,Eloor,Municipality,Ernakulam,Kerala,49334
8,,Eloor,Municipality,Ernakulam,Kerala,75966
9,,Eloor,Municipality,Ernakulam,Kerala,75967
10,,Eloor,Municipality,Ernakulam,Kerala,75968
11,,Eloor,Municipality,Ernakulam,Kerala,75969
12,,Eloor,Municipality,Ernakulam,Kerala,75970
13,,Eloor,Municipality,Ernakulam,Kerala,75971
14,Eloor (CT) - Ward No.816,Eloor,Municipality,Ernakulam,Kerala,75972
15,Eloor (CT) - Ward No.817,Eloor,Municipality,Ernakulam,Kerala,75973
16,,Eloor,Municipality,Ernakulam,Kerala,1294994
17,,Eloor,Municipality,Ernakulam,Kerala,1294995
18,,Eloor,Municipality,Ernakulam,Kerala,1294996
19,,Eloor,Municipality,Ernakulam,Kerala,1294997
20,,Eloor,Municipality,Ernakulam,Kerala,1294998
21,,Eloor,Municipality,Ernakulam,Kerala,1294999
22,,Eloor,Municipality,Ernakulam,Kerala,1295000
23,,Eloor,Municipality,Ernakulam,Kerala,1295001
24,,Eloor,Municipality,Ernakulam,Kerala,1295002
25,,Eloor,Municipality,Ernakulam,Kerala,1295003
26,,Eloor,Municipality,Ernakulam,Kerala,1295004
27,,Eloor,Municipality,Ernakulam,Kerala,1295005
