Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,,Leh,Municipality,Leh Ladakh,Ladakh,10856
2,,Leh,Municipality,Leh Ladakh,Ladakh,10857
3,,Leh,Municipality,Leh Ladakh,Ladakh,10858
4,,Leh,Municipality,Leh Ladakh,Ladakh,10859
5,,Leh,Municipality,Leh Ladakh,Ladakh,10860
6,,Leh,Municipality,Leh Ladakh,Ladakh,10861
7,,Leh,Municipality,Leh Ladakh,Ladakh,10862
8,,Leh,Municipality,Leh Ladakh,Ladakh,10863
9,,Leh,Municipality,Leh Ladakh,Ladakh,10864
10,,Leh,Municipality,Leh Ladakh,Ladakh,2511609
11,,Leh,Municipality,Leh Ladakh,Ladakh,2511610
12,,Leh,Municipality,Leh Ladakh,Ladakh,2511611
13,,Leh,Municipality,Leh Ladakh,Ladakh,2511612
1,,Kargil,Municipality,Kargil,Ladakh,68004
10,,Kargil,Municipality,Kargil,Ladakh,70669
11,,Kargil,Municipality,Kargil,Ladakh,70670
12,,Kargil,Municipality,Kargil,Ladakh,70671
13,,Kargil,Municipality,Kargil,Ladakh,70682
2,,Kargil,Municipality,Kargil,Ladakh,70723
3,,Kargil,Municipality,Kargil,Ladakh,70724
4,,Kargil,Municipality,Kargil,Ladakh,70725
5,,Kargil,Municipality,Kargil,Ladakh,70726
6,,Kargil,Municipality,Kargil,Ladakh,70727
7,,Kargil,Municipality,Kargil,Ladakh,70728
8,,Kargil,Municipality,Kargil,Ladakh,70729
9,,Kargil,Municipality,Kargil,Ladakh,70730
