Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,DR.RADHAKRISHNAN WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299718
2,GAYATRI WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299719
3,VEER SAWARKAR WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299720
4,PRATHVIRAJ CHOUHAN WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299721
5,BADAL BHOI WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299722
6,LOK MANYA GANGADHAR TILAK WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299723
7,LAL BAHADUR SHASTRI WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299724
8,SHAHID BHAWAN SINGH WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299725
9,MAHARANI LAXMI WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299726
10,SIDDHI VINAYAK WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299727
11,SWAMI DAYANAND SARSWATI WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299728
12,SARDAR BALLABH BHAI PATEL WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299729
13,JAGANNATH WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299730
14,CHANDRA SHEKHER AZAD WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299731
15,NETAJI SUBHASHCHANDRA WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299732
16,MAHATMA GANDHI WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299733
17,SANTOSHI MATA MANDIR WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299734
18,RAJENDRA NAGAR WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299735
19,PATALESHWER WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299736
20,P.DINDYAL UPADHYAY WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299737
21,DR.B.R. AMBEDKAR WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299738
22,RANI DURGAWATI WARD,Chhindwara,Municipal Corporation,Chhindwara,Madhya Pradesh,1299739
