Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Kalameshwar(M Cl) - Ward No.1,Kalameshwar,Municipality,Nagpur,Maharashtra,46366
2,Kalameshwar(M Cl) - Ward No.2,Kalameshwar,Municipality,Nagpur,Maharashtra,46367
3,Kalameshwar(M Cl) - Ward No.3,Kalameshwar,Municipality,Nagpur,Maharashtra,46368
4,Kalameshwar(M Cl) - Ward No.4,Kalameshwar,Municipality,Nagpur,Maharashtra,46369
5,Kalameshwar(M Cl) - Ward No.5,Kalameshwar,Municipality,Nagpur,Maharashtra,46370
6,Kalameshwar(M Cl) - Ward No.6,Kalameshwar,Municipality,Nagpur,Maharashtra,46371
7,Kalameshwar(M Cl) - Ward No.7,Kalameshwar,Municipality,Nagpur,Maharashtra,46372
8,Kalameshwar(M Cl) - Ward No.8,Kalameshwar,Municipality,Nagpur,Maharashtra,46373
9,Kalameshwar(M Cl) - Ward No.9,Kalameshwar,Municipality,Nagpur,Maharashtra,46374
10,Kalameshwar(M Cl) - Ward No.10,Kalameshwar,Municipality,Nagpur,Maharashtra,46375
11,Kalameshwar(M Cl) - Ward No.11,Kalameshwar,Municipality,Nagpur,Maharashtra,46376
12,Kalameshwar(M Cl) - Ward No.12,Kalameshwar,Municipality,Nagpur,Maharashtra,46377
13,Kalameshwar(M Cl) - Ward No.13,Kalameshwar,Municipality,Nagpur,Maharashtra,46378
14,Kalameshwar(M Cl) - Ward No.14,Kalameshwar,Municipality,Nagpur,Maharashtra,46379
15,Kalameshwar(M Cl) - Ward No.15,Kalameshwar,Municipality,Nagpur,Maharashtra,46380
16,Kalameshwar(M Cl) - Ward No.16,Kalameshwar,Municipality,Nagpur,Maharashtra,46381
17,Kalameshwar(M Cl) - Ward No.17,Kalameshwar,Municipality,Nagpur,Maharashtra,46382
1,Kamptee (M Cl) Ward No.1,Kamptee,Municipality,Nagpur,Maharashtra,46743
2,Kamptee (M Cl) Ward No.2,Kamptee,Municipality,Nagpur,Maharashtra,46744
3,Kamptee (M Cl) Ward No.3,Kamptee,Municipality,Nagpur,Maharashtra,46745
4,Kamptee (M Cl) Ward No.4,Kamptee,Municipality,Nagpur,Maharashtra,46746
5,Kamptee (M Cl) Ward No.5,Kamptee,Municipality,Nagpur,Maharashtra,46747
6,Kamptee (M Cl) Ward No.6,Kamptee,Municipality,Nagpur,Maharashtra,46748
7,Kamptee (M Cl) Ward No.7,Kamptee,Municipality,Nagpur,Maharashtra,46749
8,Kamptee (M Cl) Ward No.8,Kamptee,Municipality,Nagpur,Maharashtra,46750
9,Kamptee (M Cl) Ward No.9,Kamptee,Municipality,Nagpur,Maharashtra,46751
10,Kamptee (M Cl) Ward No.10,Kamptee,Municipality,Nagpur,Maharashtra,46752
11,Kamptee (M Cl) Ward No.11,Kamptee,Municipality,Nagpur,Maharashtra,46753
12,Kamptee (M Cl) Ward No.12,Kamptee,Municipality,Nagpur,Maharashtra,46754
13,Kamptee (M Cl) Ward No.13,Kamptee,Municipality,Nagpur,Maharashtra,46755
14,Kamptee (M Cl) Ward No.14,Kamptee,Municipality,Nagpur,Maharashtra,46756
15,Kamptee (M Cl) Ward No.15,Kamptee,Municipality,Nagpur,Maharashtra,46757
16,Kamptee (M Cl) Ward No.16,Kamptee,Municipality,Nagpur,Maharashtra,46758
1,Kanhan Pipri (M Cl) Ward No.1,Kanhan - Pipri,Municipality,Nagpur,Maharashtra,46715
2,Kanhan Pipri (M Cl) Ward No.2,Kanhan - Pipri,Municipality,Nagpur,Maharashtra,46716
3,Kanhan Pipri (M Cl) Ward No.3,Kanhan - Pipri,Municipality,Nagpur,Maharashtra,46717
4,Kanhan Pipri (M Cl) Ward No.4,Kanhan - Pipri,Municipality,Nagpur,Maharashtra,46718
5,Kanhan Pipri (M Cl) Ward No.5,Kanhan - Pipri,Municipality,Nagpur,Maharashtra,46719
6,Kanhan Pipri (M Cl) Ward No. 6,Kanhan - Pipri,Municipality,Nagpur,Maharashtra,2049996
7,Kanhan Pipri (M Cl) Ward No. 7,Kanhan - Pipri,Municipality,Nagpur,Maharashtra,2049997
8,Kanhan Pipri (M Cl) Ward No. 8,Kanhan - Pipri,Municipality,Nagpur,Maharashtra,2049998
1,Katol (M Cl) Ward No.1,Katol,Municipality,Nagpur,Maharashtra,46349
2,Katol (M Cl) Ward No.2,Katol,Municipality,Nagpur,Maharashtra,46350
