Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,IMC Ward 1,Imphal,Municipal Corporation,Imphal West,Manipur,1301622
2,IMC Ward 2,Imphal,Municipal Corporation,Imphal West,Manipur,1301623
3,IMC Ward 3,Imphal,Municipal Corporation,Imphal West,Manipur,1301624
4,IMC Ward 4,Imphal,Municipal Corporation,Imphal West,Manipur,1301625
5,IMC Ward 5,Imphal,Municipal Corporation,Imphal West,Manipur,1301626
6,IMC Ward 6,Imphal,Municipal Corporation,Imphal West,Manipur,1301627
7,IMC Ward 7,Imphal,Municipal Corporation,Imphal West,Manipur,1301628
8,IMC Ward 8,Imphal,Municipal Corporation,Imphal West,Manipur,1301629
9,IMC Ward 9,Imphal,Municipal Corporation,Imphal West,Manipur,1301630
10,IMC Ward 10,Imphal,Municipal Corporation,Imphal West,Manipur,1301631
11,IMC Ward 11,Imphal,Municipal Corporation,Imphal West,Manipur,1301632
12,IMC Ward 12,Imphal,Municipal Corporation,Imphal West,Manipur,1301633
13,IMC Ward 13,Imphal,Municipal Corporation,Imphal West,Manipur,1301634
14,IMC Ward 14,Imphal,Municipal Corporation,Imphal West,Manipur,1301635
15,IMC Ward 15,Imphal,Municipal Corporation,Imphal West,Manipur,1301636
16,IMC Ward 16,Imphal,Municipal Corporation,Imphal West,Manipur,1301637
17,IMC Ward 17,Imphal,Municipal Corporation,Imphal West,Manipur,1301638
18,IMC Ward 18,Imphal,Municipal Corporation,Imphal West,Manipur,1301639
19,IMC Ward 19,Imphal,Municipal Corporation,Imphal West,Manipur,1301640
20,IMC Ward 20,Imphal,Municipal Corporation,Imphal West,Manipur,1301641
21,IMC Ward 21,Imphal,Municipal Corporation,Imphal West,Manipur,1301642
22,IMC Ward 22,Imphal,Municipal Corporation,Imphal West,Manipur,1301643
23,IMC Ward 23,Imphal,Municipal Corporation,Imphal West,Manipur,1301644
24,IMC Ward 24,Imphal,Municipal Corporation,Imphal West,Manipur,1301645
25,IMC Ward 25,Imphal,Municipal Corporation,Imphal West,Manipur,1301646
26,IMC Ward 26,Imphal,Municipal Corporation,Imphal West,Manipur,1301647
27,IMC Ward 27,Imphal,Municipal Corporation,Imphal West,Manipur,1301648
1,LNP Ward 1,Lamsang,Municipality,Imphal West,Manipur,1301882
2,LNP Ward 2,Lamsang,Municipality,Imphal West,Manipur,1301883
3,LNP Ward 3,Lamsang,Municipality,Imphal West,Manipur,1301884
4,LNP Ward 4,Lamsang,Municipality,Imphal West,Manipur,1301885
5,LNP Ward 5,Lamsang,Municipality,Imphal West,Manipur,1301886
6,LNP Ward 6,Lamsang,Municipality,Imphal West,Manipur,1301887
7,LNP Ward 7,Lamsang,Municipality,Imphal West,Manipur,1301888
8,LNP Ward 8,Lamsang,Municipality,Imphal West,Manipur,1301889
9,LNP Ward 9,Lamsang,Municipality,Imphal West,Manipur,1301890
1,Lilong IW Ward 1,Lilong (imphal West),Municipality,Imphal West,Manipur,1301891
2,Lilong IW Ward 2,Lilong (imphal West),Municipality,Imphal West,Manipur,1301892
3,Lilong IW Ward 3,Lilong (imphal West),Municipality,Imphal West,Manipur,1301893
4,Lilong IW Ward 4,Lilong (imphal West),Municipality,Imphal West,Manipur,1301894
5,Lilong IW Ward 5,Lilong (imphal West),Municipality,Imphal West,Manipur,1301895
6,Lilong IW Ward 6,Lilong (imphal West),Municipality,Imphal West,Manipur,1301896
7,Lilong IW Ward 7,Lilong (imphal West),Municipality,Imphal West,Manipur,1301897
8,Lilong IW Ward 8,Lilong (imphal West),Municipality,Imphal West,Manipur,1301898
9,Lilong IW Ward 9,Lilong (imphal West),Municipality,Imphal West,Manipur,1301899
1,Mayang Imp MC Ward 1,Mayang Imphal,Municipality,Imphal West,Manipur,1301709
2,Mayang Imp MC Ward 2,Mayang Imphal,Municipality,Imphal West,Manipur,1301710
3,Mayang Imp MC Ward 3,Mayang Imphal,Municipality,Imphal West,Manipur,1301711
4,Mayang Imp MC Ward 4,Mayang Imphal,Municipality,Imphal West,Manipur,1301712
5,Mayang Imp MC Ward 5,Mayang Imphal,Municipality,Imphal West,Manipur,1301713
6,Mayang Imp MC Ward 6,Mayang Imphal,Municipality,Imphal West,Manipur,1301714
7,Mayang Imp MC Ward 7,Mayang Imphal,Municipality,Imphal West,Manipur,1301715
8,Mayang Imp MC Ward 8,Mayang Imphal,Municipality,Imphal West,Manipur,1301716
9,Mayang Imp MC Ward 9,Mayang Imphal,Municipality,Imphal West,Manipur,1301717
