Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Laitumkhrah - Ward No.1,Shillong,Municipality,East Khasi Hills,Meghalaya,3337
2,Laitumkhrah - Ward No.2,Shillong,Municipality,East Khasi Hills,Meghalaya,3338
3,Laitumkhrah - Ward No.3,Shillong,Municipality,East Khasi Hills,Meghalaya,3339
4,Laitumkhrah - Ward No.4,Shillong,Municipality,East Khasi Hills,Meghalaya,3340
5,Malki - Ward No.5,Shillong,Municipality,East Khasi Hills,Meghalaya,3341
6,Malki - Ward No.6,Shillong,Municipality,East Khasi Hills,Meghalaya,3342
7,Europeon Ward - Ward No.7,Shillong,Municipality,East Khasi Hills,Meghalaya,3343
8,Europeon Ward - Ward No.8,Shillong,Municipality,East Khasi Hills,Meghalaya,3344
9,Police Bazar - Ward No.9,Shillong,Municipality,East Khasi Hills,Meghalaya,3345
10,Jail Road - Ward No.10,Shillong,Municipality,East Khasi Hills,Meghalaya,3346
11,Jail Road - Ward No.11,Shillong,Municipality,East Khasi Hills,Meghalaya,3347
12,Mawkhar - Ward No.12,Shillong,Municipality,East Khasi Hills,Meghalaya,3348
13,Mawkhar - Ward No.13,Shillong,Municipality,East Khasi Hills,Meghalaya,3349
14,Jaiaw - Ward No.14,Shillong,Municipality,East Khasi Hills,Meghalaya,3350
15,Jaiaw - Ward No.15,Shillong,Municipality,East Khasi Hills,Meghalaya,3351
16,Jaiaw - Ward No.16,Shillong,Municipality,East Khasi Hills,Meghalaya,3352
17,S.E. Mawkhar - Ward No.17,Shillong,Municipality,East Khasi Hills,Meghalaya,3353
18,S.E. Mawkhar - Ward No.18,Shillong,Municipality,East Khasi Hills,Meghalaya,3354
19,Mawprem - Ward No.19,Shillong,Municipality,East Khasi Hills,Meghalaya,3355
20,Mawprem - Ward No.20,Shillong,Municipality,East Khasi Hills,Meghalaya,3356
21,Mawprem - Ward No.21,Shillong,Municipality,East Khasi Hills,Meghalaya,3357
22,Kenches Trace - Ward No.22,Shillong,Municipality,East Khasi Hills,Meghalaya,3358
23,Kenches Trace - Ward No.23,Shillong,Municipality,East Khasi Hills,Meghalaya,3359
24,Laban - Ward No.24,Shillong,Municipality,East Khasi Hills,Meghalaya,3360
