Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297208
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297209
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297210
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297211
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297212
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297213
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297214
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297215
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297216
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297217
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297218
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297219
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297220
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297221
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297222
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297223
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297224
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297225
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297226
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297227
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297228
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297229
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297230
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297231
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297232
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297233
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297234
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297235
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297236
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297237
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297238
,,Aizawl Municipal Co-operation,Municipal Corporation,Aizawl,Mizoram,1297239
