Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Aboi Town (TC) - Ward No.1 ANGLONG WARD,Aboi Town Council,Town Panchayat,Mon,Nagaland,1269669
2,Aboi Town (TC) - Ward No.2 KOIWANG WARD,Aboi Town Council,Town Panchayat,Mon,Nagaland,1269670
3,Aboi Town (TC) - Ward No.3 ABOI YANG WARD,Aboi Town Council,Town Panchayat,Mon,Nagaland,1269671
4,Aboi Town (TC) - Ward No.4 KEIHA WARD,Aboi Town Council,Town Panchayat,Mon,Nagaland,1269672
5,Aboi Town (TC) - Ward No.5 PENKHONG WARD,Aboi Town Council,Town Panchayat,Mon,Nagaland,1269673
6,Aboi Town (TC) - Ward No.6 SHAMMANG WARD,Aboi Town Council,Town Panchayat,Mon,Nagaland,1269674
7,Aboi Town (TC) - Ward No.7 HAHNYAN WARD,Aboi Town Council,Town Panchayat,Mon,Nagaland,1269675
8,Aboi Town (TC) - Ward No.8 MANSHAM WARD,Aboi Town Council,Town Panchayat,Mon,Nagaland,1269676
9,Aboi Town (TC) - Ward No.9 YONGKEM WARD,Aboi Town Council,Town Panchayat,Mon,Nagaland,1269677
7,Mon Town (TC) - Ward No.7 JAHJON WARD,Mon Town Council,Town Panchayat,Mon,Nagaland,6274
8,Mon Town (TC) - Ward No.8 CHINGAI WARD,Mon Town Council,Town Panchayat,Mon,Nagaland,6275
9,Mon Town (TC) - Ward No. 9 SHANTHAM WARD,Mon Town Council,Town Panchayat,Mon,Nagaland,6276
10,Mon Town (TC) - Ward No.10 TOMPANG WARD,Mon Town Council,Town Panchayat,Mon,Nagaland,6277
11,Mon Town (TC) - Ward No. 11 THAMNAN WARD,Mon Town Council,Town Panchayat,Mon,Nagaland,6278
1,Mon Town (TC) - Ward No.1 WALO WARD,Mon Town Council,Town Panchayat,Mon,Nagaland,15564
2,Mon Town (TC) - Ward No.2 SHAMNYU WARD,Mon Town Council,Town Panchayat,Mon,Nagaland,15565
3,Mon Town (TC) - Ward No.3 ZUKLOM WARD,Mon Town Council,Town Panchayat,Mon,Nagaland,15566
4,Mon Town (TC) - Ward No.4 TANLAO WARD,Mon Town Council,Town Panchayat,Mon,Nagaland,15567
5,Mon Town (TC) - Ward No.5 WAGIEM WARD,Mon Town Council,Town Panchayat,Mon,Nagaland,15568
6,Mon Town (TC) - Ward No.6 TECHAHAN,Mon Town Council,Town Panchayat,Mon,Nagaland,15569
1,Naginimora Town (TC) - Ward No. 1 LAKJAN WARD,Naginimora Town Council,Town Panchayat,Mon,Nagaland,2297424
2,Naginimora Town (TC) - Ward No. 2 ANGNUNG WARD,Naginimora Town Council,Town Panchayat,Mon,Nagaland,2297425
3,Naginimora Town (TC) - Ward No. 3 BAMJONG WARD,Naginimora Town Council,Town Panchayat,Mon,Nagaland,2297426
4,Naginimora Town (TC) - Ward No. 4 CHINGJANG WARD,Naginimora Town Council,Town Panchayat,Mon,Nagaland,2297427
5,Naginimora Town (TC) - Ward No. 5 RAILWAY WARD,Naginimora Town Council,Town Panchayat,Mon,Nagaland,2297428
6,Naginimora Town (TC) - Ward No. 6 KANG WARD,Naginimora Town Council,Town Panchayat,Mon,Nagaland,2297429
7,Naginimora Town (TC) - Ward No. 7 WAKSHONG WARD,Naginimora Town Council,Town Panchayat,Mon,Nagaland,2297430
8,Naginimora Town (TC) - Ward No. 8 LEKAN WARD,Naginimora Town Council,Town Panchayat,Mon,Nagaland,2297431
9,Naginimora Town (TC) - Ward No. 9 KOTKEANG WARD,Naginimora Town Council,Town Panchayat,Mon,Nagaland,2297432
1,Tizit Town (TC) - Ward No.1 ADC WARD,Tizit Town Council,Town Panchayat,Mon,Nagaland,1269660
2,Tizit Town (TC) - Ward No.2 SOALEM WARD,Tizit Town Council,Town Panchayat,Mon,Nagaland,1269661
3,Tizit Town (TC) - Ward No.3 YANLEM WARD,Tizit Town Council,Town Panchayat,Mon,Nagaland,1269662
4,Tizit Town (TC) - Ward No.4 PONGMA WARD,Tizit Town Council,Town Panchayat,Mon,Nagaland,1269663
5,Tizit Town (TC) - Ward No.5 PENTOM WARD,Tizit Town Council,Town Panchayat,Mon,Nagaland,1269664
6,Tizit Town (TC) - Ward No.6 FOREST WARD,Tizit Town Council,Town Panchayat,Mon,Nagaland,1269665
7,Tizit Town (TC) - Ward No.7 MEDICAL WARD,Tizit Town Council,Town Panchayat,Mon,Nagaland,1269666
8,Tizit Town (TC) - Ward No.8 INDUSTRY WARD,Tizit Town Council,Town Panchayat,Mon,Nagaland,1269667
9,Tizit Town (TC) - Ward No.9 POLICE WARD,Tizit Town Council,Town Panchayat,Mon,Nagaland,1269668
1,Tobu Town (TC) - Ward No.1 ADC WARD,Tobu Town Council,Town Panchayat,Mon,Nagaland,1269745
2,Tobu Town (TC) - Ward No.2 LOWER HIGH SCHOOL WARD,Tobu Town Council,Town Panchayat,Mon,Nagaland,1269746
3,Tobu Town (TC) - Ward No.3 KAPCHANGYEANG WARD,Tobu Town Council,Town Panchayat,Mon,Nagaland,1269747
4,Tobu Town (TC) - Ward No.4 NST WARD,Tobu Town Council,Town Panchayat,Mon,Nagaland,1269748
5,Tobu Town (TC) - Ward No.5 BAZAAR-A WARD,Tobu Town Council,Town Panchayat,Mon,Nagaland,1269749
7,Tobu Town (TC) - Ward No.7 UPPER HIGH SCHOOL WARD,Tobu Town Council,Town Panchayat,Mon,Nagaland,1269750
8,Tobu Town (TC) - Ward No.8 SHAMNYAK WARD,Tobu Town Council,Town Panchayat,Mon,Nagaland,1269751
9,Tobu Town (TC) - Ward No.9 OLD MEDICAL WARD,Tobu Town Council,Town Panchayat,Mon,Nagaland,1269752
6,Tobu Town (TC) - Ward No.6 BAZAAR-B WARD,Tobu Town Council,Town Panchayat,Mon,Nagaland,1269753
1,Noklak Town (TC) - Ward No.1 KIAMNGAN WARD,Noklak Town Council,Town Panchayat,Noklak,Nagaland,1269716
2,Noklak Town (TC) - Ward No.2 HIGH SCHOOL SECTOR-A WARD,Noklak Town Council,Town Panchayat,Noklak,Nagaland,1269717
3,Noklak Town (TC) - Ward No.3 HIGH SCHOOL SECTOR-B WARD,Noklak Town Council,Town Panchayat,Noklak,Nagaland,1269718
4,Noklak Town (TC) - Ward No.4 PUNYAONGAN WARD,Noklak Town Council,Town Panchayat,Noklak,Nagaland,1269719
5,Noklak Town (TC) - Ward No.5 KHAOKHAN WARD,Noklak Town Council,Town Panchayat,Noklak,Nagaland,1269720
