Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
29,Brahmapur (M Corp.) - Ward No.29,Berhampur,Municipal Corporation,Ganjam,Odisha,521
30,Brahmapur (M Corp.) - Ward No.30,Berhampur,Municipal Corporation,Ganjam,Odisha,522
31,Brahmapur (M Corp.) - Ward No.31,Berhampur,Municipal Corporation,Ganjam,Odisha,523
32,Brahmapur (M Corp.) - Ward No.32,Berhampur,Municipal Corporation,Ganjam,Odisha,524
33,Brahmapur (M Corp.) - Ward No.33,Berhampur,Municipal Corporation,Ganjam,Odisha,525
34,Brahmapur (M Corp.) - Ward No.34,Berhampur,Municipal Corporation,Ganjam,Odisha,526
35,Brahmapur (M Corp.) - Ward No.35,Berhampur,Municipal Corporation,Ganjam,Odisha,527
36,Brahmapur (M Corp.) - Ward No.36,Berhampur,Municipal Corporation,Ganjam,Odisha,528
37,Brahmapur (M Corp.) - Ward No.37,Berhampur,Municipal Corporation,Ganjam,Odisha,529
1,Brahmapur (M Corp.) - Ward No.1,Berhampur,Municipal Corporation,Ganjam,Odisha,9659
2,Brahmapur (M Corp.) - Ward No.2,Berhampur,Municipal Corporation,Ganjam,Odisha,9660
3,Brahmapur (M Corp.) - Ward No.3,Berhampur,Municipal Corporation,Ganjam,Odisha,9661
4,Brahmapur (M Corp.) - Ward No.4,Berhampur,Municipal Corporation,Ganjam,Odisha,9662
5,Brahmapur (M Corp.) - Ward No.5,Berhampur,Municipal Corporation,Ganjam,Odisha,9663
6,Brahmapur (M Corp.) - Ward No.6,Berhampur,Municipal Corporation,Ganjam,Odisha,9664
7,Brahmapur (M Corp.) - Ward No.7,Berhampur,Municipal Corporation,Ganjam,Odisha,9665
8,Brahmapur (M Corp.) - Ward No.8,Berhampur,Municipal Corporation,Ganjam,Odisha,9666
9,Brahmapur (M Corp.) - Ward No.9,Berhampur,Municipal Corporation,Ganjam,Odisha,9667
10,Brahmapur (M Corp.) - Ward No.10,Berhampur,Municipal Corporation,Ganjam,Odisha,9668
11,Brahmapur (M Corp.) - Ward No.11,Berhampur,Municipal Corporation,Ganjam,Odisha,9669
12,Brahmapur (M Corp.) - Ward No.12,Berhampur,Municipal Corporation,Ganjam,Odisha,9670
13,Brahmapur (M Corp.) - Ward No.13,Berhampur,Municipal Corporation,Ganjam,Odisha,9671
14,Brahmapur (M Corp.) - Ward No.14,Berhampur,Municipal Corporation,Ganjam,Odisha,9672
15,Brahmapur (M Corp.) - Ward No.15,Berhampur,Municipal Corporation,Ganjam,Odisha,9673
16,Brahmapur (M Corp.) - Ward No.16,Berhampur,Municipal Corporation,Ganjam,Odisha,9674
17,Brahmapur (M Corp.) - Ward No.17,Berhampur,Municipal Corporation,Ganjam,Odisha,9675
18,Brahmapur (M Corp.) - Ward No.18,Berhampur,Municipal Corporation,Ganjam,Odisha,9676
19,Brahmapur (M Corp.) - Ward No.19,Berhampur,Municipal Corporation,Ganjam,Odisha,9677
20,Brahmapur (M Corp.) - Ward No.20,Berhampur,Municipal Corporation,Ganjam,Odisha,9678
21,Brahmapur (M Corp.) - Ward No.21,Berhampur,Municipal Corporation,Ganjam,Odisha,9679
22,Brahmapur (M Corp.) - Ward No.22,Berhampur,Municipal Corporation,Ganjam,Odisha,9680
23,Brahmapur (M Corp.) - Ward No.23,Berhampur,Municipal Corporation,Ganjam,Odisha,9681
24,Brahmapur (M Corp.) - Ward No.24,Berhampur,Municipal Corporation,Ganjam,Odisha,9682
25,Brahmapur (M Corp.) - Ward No.25,Berhampur,Municipal Corporation,Ganjam,Odisha,9683
26,Brahmapur (M Corp.) - Ward No.26,Berhampur,Municipal Corporation,Ganjam,Odisha,9684
27,Brahmapur (M Corp.) - Ward No.27,Berhampur,Municipal Corporation,Ganjam,Odisha,9685
28,Brahmapur (M Corp.) - Ward No.28,Berhampur,Municipal Corporation,Ganjam,Odisha,9686
38,Brahmapur (M Corp.) - Ward No.38,Berhampur,Municipal Corporation,Ganjam,Odisha,695398
39,Brahmapur (M Corp.) - Ward No.39,Berhampur,Municipal Corporation,Ganjam,Odisha,695408
40,Brahmapur (M Corp.) - Ward No.40,Berhampur,Municipal Corporation,Ganjam,Odisha,695613
1,Hinjilicut (M) - Ward No.1,Hinjilicut,Municipality,Ganjam,Odisha,67877
2,Hinjilicut (M) - Ward No.2,Hinjilicut,Municipality,Ganjam,Odisha,67878
3,Hinjilicut (M) - Ward No.3,Hinjilicut,Municipality,Ganjam,Odisha,67879
4,Hinjilicut (M) - Ward No.4,Hinjilicut,Municipality,Ganjam,Odisha,67880
5,Hinjilicut (M) - Ward No.5,Hinjilicut,Municipality,Ganjam,Odisha,67881
6,Hinjilicut (M) - Ward No.6,Hinjilicut,Municipality,Ganjam,Odisha,67882
7,Hinjilicut (M) - Ward No.7,Hinjilicut,Municipality,Ganjam,Odisha,67883
8,Hinjilicut (M) - Ward No.8,Hinjilicut,Municipality,Ganjam,Odisha,67884
9,Hinjilicut (M) - Ward No.9,Hinjilicut,Municipality,Ganjam,Odisha,67885
10,Hinjilicut (M) - Ward No.10,Hinjilicut,Municipality,Ganjam,Odisha,67886
11,Hinjilicut (M) - Ward No.11,Hinjilicut,Municipality,Ganjam,Odisha,67887
12,Hinjilicut (M) - Ward No.12,Hinjilicut,Municipality,Ganjam,Odisha,67888
13,Hinjilicut (M) - Ward No.13,Hinjilicut,Municipality,Ganjam,Odisha,67889
14,Hinjilicut (M) - Ward No.14,Hinjilicut,Municipality,Ganjam,Odisha,67890
