Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301425
2,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301426
3,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301427
4,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301428
5,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301429
6,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301430
7,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301431
8,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301432
9,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301433
10,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301434
11,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301435
12,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301436
13,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301437
14,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301438
15,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301439
16,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301440
17,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301441
18,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301442
19,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301443
20,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301444
21,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301445
22,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301446
23,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301447
24,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301448
25,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301449
26,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301450
27,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301451
28,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301452
29,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301453
30,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301454
31,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301455
32,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301456
33,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301457
34,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301458
35,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301459
36,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301460
37,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301461
38,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301462
39,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301463
40,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301464
41,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301465
42,,Ozhukarai,Municipality,Pondicherry,Puducherry,1301466
1,,Pondicherry,Municipality,Pondicherry,Puducherry,1301361
2,,Pondicherry,Municipality,Pondicherry,Puducherry,1301362
3,,Pondicherry,Municipality,Pondicherry,Puducherry,1301363
4,,Pondicherry,Municipality,Pondicherry,Puducherry,1301364
5,,Pondicherry,Municipality,Pondicherry,Puducherry,1301365
6,,Pondicherry,Municipality,Pondicherry,Puducherry,1301366
7,,Pondicherry,Municipality,Pondicherry,Puducherry,1301367
8,,Pondicherry,Municipality,Pondicherry,Puducherry,1301368
9,,Pondicherry,Municipality,Pondicherry,Puducherry,1301369
10,,Pondicherry,Municipality,Pondicherry,Puducherry,1301370
11,,Pondicherry,Municipality,Pondicherry,Puducherry,1301371
12,,Pondicherry,Municipality,Pondicherry,Puducherry,1301372
13,,Pondicherry,Municipality,Pondicherry,Puducherry,1301373
14,,Pondicherry,Municipality,Pondicherry,Puducherry,1301374
15,,Pondicherry,Municipality,Pondicherry,Puducherry,1301375
16,,Pondicherry,Municipality,Pondicherry,Puducherry,1301376
17,,Pondicherry,Municipality,Pondicherry,Puducherry,1301377
18,,Pondicherry,Municipality,Pondicherry,Puducherry,1301378
19,,Pondicherry,Municipality,Pondicherry,Puducherry,1301379
20,,Pondicherry,Municipality,Pondicherry,Puducherry,1301380
21,,Pondicherry,Municipality,Pondicherry,Puducherry,1301381
22,,Pondicherry,Municipality,Pondicherry,Puducherry,1301382
23,,Pondicherry,Municipality,Pondicherry,Puducherry,1301383
24,,Pondicherry,Municipality,Pondicherry,Puducherry,1301384
25,,Pondicherry,Municipality,Pondicherry,Puducherry,1301385
26,,Pondicherry,Municipality,Pondicherry,Puducherry,1301386
27,,Pondicherry,Municipality,Pondicherry,Puducherry,1301387
28,,Pondicherry,Municipality,Pondicherry,Puducherry,1301388
29,,Pondicherry,Municipality,Pondicherry,Puducherry,1301389
30,,Pondicherry,Municipality,Pondicherry,Puducherry,1301390
31,,Pondicherry,Municipality,Pondicherry,Puducherry,1301391
32,,Pondicherry,Municipality,Pondicherry,Puducherry,1301392
33,,Pondicherry,Municipality,Pondicherry,Puducherry,1301393
