Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Alwar (M Cl) - Ward No.1,Alwar,Municipality,Alwar,Rajasthan,62658
2,Alwar (M Cl) - Ward No.2,Alwar,Municipality,Alwar,Rajasthan,62659
3,Alwar (M Cl) - Ward No.3,Alwar,Municipality,Alwar,Rajasthan,62660
4,Alwar (M Cl) - Ward No.4,Alwar,Municipality,Alwar,Rajasthan,62661
5,Alwar (M Cl) - Ward No.5,Alwar,Municipality,Alwar,Rajasthan,62662
6,Alwar (M Cl) - Ward No.6,Alwar,Municipality,Alwar,Rajasthan,62663
7,Alwar (M Cl) - Ward No.7,Alwar,Municipality,Alwar,Rajasthan,62664
8,Alwar (M Cl) - Ward No.8,Alwar,Municipality,Alwar,Rajasthan,62665
9,Alwar (M Cl) - Ward No.9,Alwar,Municipality,Alwar,Rajasthan,62666
10,Alwar (M Cl) - Ward No.10,Alwar,Municipality,Alwar,Rajasthan,62667
11,Alwar (M Cl) - Ward No.11,Alwar,Municipality,Alwar,Rajasthan,62668
12,Alwar (M Cl) - Ward No.12,Alwar,Municipality,Alwar,Rajasthan,62669
13,Alwar (M Cl) - Ward No.13,Alwar,Municipality,Alwar,Rajasthan,62670
14,Alwar (M Cl) - Ward No.14,Alwar,Municipality,Alwar,Rajasthan,62671
15,Alwar (M Cl) - Ward No.15,Alwar,Municipality,Alwar,Rajasthan,62672
16,Alwar (M Cl) - Ward No.16,Alwar,Municipality,Alwar,Rajasthan,62673
17,Alwar (M Cl) - Ward No.17,Alwar,Municipality,Alwar,Rajasthan,62674
18,Alwar (M Cl) - Ward No.18,Alwar,Municipality,Alwar,Rajasthan,62675
19,Alwar (M Cl) - Ward No.19,Alwar,Municipality,Alwar,Rajasthan,62676
20,Alwar (M Cl) - Ward No.20,Alwar,Municipality,Alwar,Rajasthan,62677
21,Alwar (M Cl) - Ward No.21,Alwar,Municipality,Alwar,Rajasthan,62678
22,Alwar (M Cl) - Ward No.22,Alwar,Municipality,Alwar,Rajasthan,62679
23,Alwar (M Cl) - Ward No.23,Alwar,Municipality,Alwar,Rajasthan,62680
24,Alwar (M Cl) - Ward No.24,Alwar,Municipality,Alwar,Rajasthan,62681
25,Alwar (M Cl) - Ward No.25,Alwar,Municipality,Alwar,Rajasthan,62682
26,Alwar (M Cl) - Ward No.26,Alwar,Municipality,Alwar,Rajasthan,62767
27,Alwar (M Cl) - Ward No.27,Alwar,Municipality,Alwar,Rajasthan,62768
28,Alwar (M Cl) - Ward No.28,Alwar,Municipality,Alwar,Rajasthan,62769
29,Alwar (M Cl) - Ward No.29,Alwar,Municipality,Alwar,Rajasthan,62770
30,Alwar (M Cl) - Ward No.30,Alwar,Municipality,Alwar,Rajasthan,62771
31,Alwar (M Cl) - Ward No.31,Alwar,Municipality,Alwar,Rajasthan,62772
32,Alwar (M Cl) - Ward No.32,Alwar,Municipality,Alwar,Rajasthan,62773
33,Alwar (M Cl) - Ward No.33,Alwar,Municipality,Alwar,Rajasthan,62774
34,Alwar (M Cl) - Ward No.34,Alwar,Municipality,Alwar,Rajasthan,62775
35,Alwar (M Cl) - Ward No.35,Alwar,Municipality,Alwar,Rajasthan,62776
36,Alwar (M Cl) - Ward No.36,Alwar,Municipality,Alwar,Rajasthan,62777
37,Alwar (M Cl) - Ward No.37,Alwar,Municipality,Alwar,Rajasthan,62778
38,Alwar (M Cl) - Ward No.38,Alwar,Municipality,Alwar,Rajasthan,62779
39,Alwar (M Cl) - Ward No.39,Alwar,Municipality,Alwar,Rajasthan,62780
40,Alwar (M Cl) - Ward No.40,Alwar,Municipality,Alwar,Rajasthan,62781
41,Alwar (M Cl) - Ward No.41,Alwar,Municipality,Alwar,Rajasthan,62782
42,Alwar (M Cl) - Ward No.42,Alwar,Municipality,Alwar,Rajasthan,62783
43,Alwar (M Cl) - Ward No.43,Alwar,Municipality,Alwar,Rajasthan,62784
44,Alwar (M Cl) - Ward No.44,Alwar,Municipality,Alwar,Rajasthan,62785
45,Alwar (M Cl) - Ward No.45,Alwar,Municipality,Alwar,Rajasthan,62786
46,Alwar (M Cl) - Ward No.46,Alwar,Municipality,Alwar,Rajasthan,62787
47,Alwar (M Cl) - Ward No.47,Alwar,Municipality,Alwar,Rajasthan,62788
48,Alwar (M Cl) - Ward No.48,Alwar,Municipality,Alwar,Rajasthan,62789
49,Alwar (M Cl) - Ward No.49,Alwar,Municipality,Alwar,Rajasthan,62790
50,Alwar (M Cl) - Ward No.50,Alwar,Municipality,Alwar,Rajasthan,62791
51,Alwar (M Cl) - Ward No.51,Alwar,Municipality,Alwar,Rajasthan,62792
52,Alwar (M Cl) - Ward No.52,Alwar,Municipality,Alwar,Rajasthan,1303476
53,Alwar (M Cl) - Ward No.53,Alwar,Municipality,Alwar,Rajasthan,1303477
54,Alwar (M Cl) - Ward No.54,Alwar,Municipality,Alwar,Rajasthan,1303478
55,Alwar (M Cl) - Ward No.55,Alwar,Municipality,Alwar,Rajasthan,1303479
56,Alwar (M Cl) - Ward No.56,Alwar,Municipality,Alwar,Rajasthan,1303480
57,Alwar (M Cl) - Ward No.57,Alwar,Municipality,Alwar,Rajasthan,1303481
58,Alwar (M Cl) - Ward No.58,Alwar,Municipality,Alwar,Rajasthan,1303482
59,Alwar (M Cl) - Ward No.59,Alwar,Municipality,Alwar,Rajasthan,1303483
60,Alwar (M Cl) - Ward No.60,Alwar,Municipality,Alwar,Rajasthan,1303484
61,Alwar (M Cl) - Ward No.61,Alwar,Municipality,Alwar,Rajasthan,1303485
62,Alwar (M Cl) - Ward No.62,Alwar,Municipality,Alwar,Rajasthan,1303486
63,Alwar (M Cl) - Ward No.63,Alwar,Municipality,Alwar,Rajasthan,1303487
64,Alwar (M Cl) - Ward No.64,Alwar,Municipality,Alwar,Rajasthan,1303488
65,Alwar (M Cl) - Ward No.65,Alwar,Municipality,Alwar,Rajasthan,1303489
1,Bhiwadi (CT) - Ward No.1,Bhiwadi,Municipality,Alwar,Rajasthan,19772
2,Bhiwadi (CT) - Ward No.2,Bhiwadi,Municipality,Alwar,Rajasthan,19773
3,Bhiwadi (CT) - Ward No.3,Bhiwadi,Municipality,Alwar,Rajasthan,19774
4,Bhiwadi (CT) - Ward No.4,Bhiwadi,Municipality,Alwar,Rajasthan,19775
5,Bhiwadi (CT) - Ward No.5,Bhiwadi,Municipality,Alwar,Rajasthan,19776
6,Bhiwadi (CT) - Ward No.6,Bhiwadi,Municipality,Alwar,Rajasthan,19777
7,Bhiwadi (CT) - Ward No.7,Bhiwadi,Municipality,Alwar,Rajasthan,19778
8,Bhiwadi (CT) - Ward No.8,Bhiwadi,Municipality,Alwar,Rajasthan,19779
9,Bhiwadi (CT) - Ward No.9,Bhiwadi,Municipality,Alwar,Rajasthan,19780
10,Bhiwadi (CT) - Ward No.10,Bhiwadi,Municipality,Alwar,Rajasthan,19781
11,Bhiwadi (CT) - Ward No.11,Bhiwadi,Municipality,Alwar,Rajasthan,19782
