Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Nagercoil (M) - Ward No.1,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48721
2,Nagercoil (M) - Ward No.2,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48722
3,Nagercoil (M) - Ward No.3,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48723
4,Nagercoil (M) - Ward No.4,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48724
5,Nagercoil (M) - Ward No.5,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48725
6,Nagercoil (M) - Ward No.6,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48726
7,Nagercoil (M) - Ward No.7,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48727
8,Nagercoil (M) - Ward No.8,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48728
9,Nagercoil (M) - Ward No.9,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48729
10,Nagercoil (M) - Ward No.10,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48730
11,Nagercoil (M) - Ward No.11,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48731
12,Nagercoil (M) - Ward No.12,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48732
13,Nagercoil (M) - Ward No.13,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48733
14,Nagercoil (M) - Ward No.14,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48734
15,Nagercoil (M) - Ward No.15,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48735
16,Nagercoil (M) - Ward No.16,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48736
17,Nagercoil (M) - Ward No.17,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48737
18,Nagercoil (M) - Ward No.18,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48738
19,Nagercoil (M) - Ward No.19,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48739
20,Nagercoil (M) - Ward No.20,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48740
21,Nagercoil (M) - Ward No.21,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48741
22,Nagercoil (M) - Ward No.22,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48742
23,Nagercoil (M) - Ward No.23,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48743
24,Nagercoil (M) - Ward No.24,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48744
25,Nagercoil (M) - Ward No.25,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48745
26,Nagercoil (M) - Ward No.26,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48746
27,Nagercoil (M) - Ward No.27,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48747
28,Nagercoil (M) - Ward No.28,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48748
29,Nagercoil (M) - Ward No.29,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48749
30,Nagercoil (M) - Ward No.30,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48750
31,Nagercoil (M) - Ward No.31,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48751
32,Nagercoil (M) - Ward No.32,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48752
33,Nagercoil (M) - Ward No.33,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48753
34,Nagercoil (M) - Ward No.34,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48754
35,Nagercoil (M) - Ward No.35,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48755
36,Nagercoil (M) - Ward No.36,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48756
37,Nagercoil (M) - Ward No.37,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48757
38,Nagercoil (M) - Ward No.38,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48758
39,Nagercoil (M) - Ward No.39,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48759
40,Nagercoil (M) - Ward No.40,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48760
41,Nagercoil (M) - Ward No.41,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48761
42,Nagercoil (M) - Ward No.42,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48762
43,Nagercoil (M) - Ward No.43,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48763
44,Nagercoil (M) - Ward No.44,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48764
45,Nagercoil (M) - Ward No.45,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48765
46,Nagercoil (M) - Ward No.46,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48766
47,Nagercoil (M) - Ward No.47,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48767
48,Nagercoil (M) - Ward No.48,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48768
49,Nagercoil (M) - Ward No.49,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48769
50,Nagercoil (M) - Ward No.50,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48770
51,Nagercoil (M) - Ward No.51,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,48771
52,Nagercoil (M) - Ward No.52,Nagercoil,Municipal Corporation,Kanniyakumari,Tamil Nadu,1306820
1,Kolachal (M) - Ward No.1,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48334
2,Kolachal (M) - Ward No.2,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48335
3,Kolachal (M) - Ward No.3,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48336
4,Kolachal (M) - Ward No.4,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48337
5,Kolachal (M) - Ward No.5,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48338
6,Kolachal (M) - Ward No.6,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48339
7,Kolachal (M) - Ward No.7,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48340
8,Kolachal (M) - Ward No.8,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48341
9,Kolachal (M) - Ward No.9,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48342
10,Kolachal (M) - Ward No.10,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48343
11,Kolachal (M) - Ward No.11,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48344
12,Kolachal (M) - Ward No.12,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48345
13,Kolachal (M) - Ward No.13,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48346
14,Kolachal (M) - Ward No.14,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48347
15,Kolachal (M) - Ward No.15,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48348
16,Kolachal (M) - Ward No.16,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48349
17,Kolachal (M) - Ward No.17,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48350
18,Kolachal (M) - Ward No.18,Kolachal,Municipality,Kanniyakumari,Tamil Nadu,48351
