Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Badangpet Ward No.1,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293189
2,Badangpet Ward No.2,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293190
3,Badangpet Ward No.3,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293191
4,Badangpet Ward No.4,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293192
5,Badangpet Ward No.5,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293193
6,Badangpet Ward No.6,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293194
7,Badangpet Ward No.7,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293195
8,Badangpet Ward No.8,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293196
9,Badangpet Ward No.9,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293197
10,Badangpet Ward No.10,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293198
11,Badangpet Ward No.11,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293199
12,Badangpet Ward No.12,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293200
13,Badangpet Ward No.13,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293201
14,Badangpet Ward No.14,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293202
15,Badangpet Ward No.15,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293203
16,Badangpet Ward No.16,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293204
17,Badangpet Ward No.17,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293205
18,Badangpet Ward No.18,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293206
19,Badangpet Ward No.19,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293207
20,Badangpet Ward No.20,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,1293208
21,Ward No. 21,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,2520531
22,Ward No. 22,Badangpet,Municipal Corporation,Ranga Reddy,Telangana,2520532
