Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Silvassa Ward No.1,Silvassa,Municipality,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,1434
2,Silvassa Ward No.2,Silvassa,Municipality,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,2577396
3,Silvassa Ward No.3,Silvassa,Municipality,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,2577397
4,Silvassa Ward No.4,Silvassa,Municipality,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,2577398
5,Silvassa Ward No.5,Silvassa,Municipality,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,2577399
6,Silvassa Ward No.6,Silvassa,Municipality,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,2577400
7,Silvassa Ward No.7,Silvassa,Municipality,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,2577401
8,Silvassa Ward No.8,Silvassa,Municipality,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,2577402
9,Silvassa Ward No.9,Silvassa,Municipality,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,2577403
10,Silvassa Ward No.10,Silvassa,Municipality,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,2577404
11,Silvassa Ward No.11,Silvassa,Municipality,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,2577405
12,Silvassa Ward No.12,Silvassa,Municipality,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,2577406
13,Silvassa Ward No.13,Silvassa,Municipality,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,2577407
14,Silvassa Ward No.14,Silvassa,Municipality,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,2577408
15,Silvassa Ward No.15,Silvassa,Municipality,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,2577409
1,Daman (M Cl) - Ward No.1,Daman,Municipality,Daman,The Dadra And Nagar Haveli And Daman And Diu,1419
2,Daman (M Cl) - Ward No.2,Daman,Municipality,Daman,The Dadra And Nagar Haveli And Daman And Diu,1420
3,Daman (M Cl) - Ward No.3,Daman,Municipality,Daman,The Dadra And Nagar Haveli And Daman And Diu,1421
4,Daman (M Cl) - Ward No.4,Daman,Municipality,Daman,The Dadra And Nagar Haveli And Daman And Diu,1422
5,Daman (M Cl) - Ward No.5,Daman,Municipality,Daman,The Dadra And Nagar Haveli And Daman And Diu,1423
6,Daman (M Cl) - Ward No.6,Daman,Municipality,Daman,The Dadra And Nagar Haveli And Daman And Diu,1424
7,Daman (M Cl) - Ward No.7,Daman,Municipality,Daman,The Dadra And Nagar Haveli And Daman And Diu,1425
8,Daman (M Cl) - Ward No.8,Daman,Municipality,Daman,The Dadra And Nagar Haveli And Daman And Diu,1426
9,Daman (M Cl) - Ward No.9,Daman,Municipality,Daman,The Dadra And Nagar Haveli And Daman And Diu,1427
10,Daman (M Cl) - Ward No.10,Daman,Municipality,Daman,The Dadra And Nagar Haveli And Daman And Diu,1428
11,Daman (M Cl) - Ward No.11,Daman,Municipality,Daman,The Dadra And Nagar Haveli And Daman And Diu,1429
12,Daman (M Cl) - Ward No.12,Daman,Municipality,Daman,The Dadra And Nagar Haveli And Daman And Diu,1430
13,Daman (M Cl) - Ward No.13,Daman,Municipality,Daman,The Dadra And Nagar Haveli And Daman And Diu,1431
14,Daman (M Cl) - Ward No.14,Daman,Municipality,Daman,The Dadra And Nagar Haveli And Daman And Diu,1432
15,Daman (M Cl) - Ward No.15,Daman,Municipality,Daman,The Dadra And Nagar Haveli And Daman And Diu,1433
1,Diu (M Cl) - Ward No.1,Diu,Municipality,Diu,The Dadra And Nagar Haveli And Daman And Diu,74902
2,Diu (M Cl) - Ward No.2,Diu,Municipality,Diu,The Dadra And Nagar Haveli And Daman And Diu,74903
3,Diu (M Cl) - Ward No.3,Diu,Municipality,Diu,The Dadra And Nagar Haveli And Daman And Diu,74904
4,Diu (M Cl) - Ward No.4,Diu,Municipality,Diu,The Dadra And Nagar Haveli And Daman And Diu,74905
5,Diu (M Cl) - Ward No.5,Diu,Municipality,Diu,The Dadra And Nagar Haveli And Daman And Diu,74906
6,Diu (M Cl) - Ward No.6,Diu,Municipality,Diu,The Dadra And Nagar Haveli And Daman And Diu,74907
7,Diu (M Cl) - Ward No.7,Diu,Municipality,Diu,The Dadra And Nagar Haveli And Daman And Diu,74908
8,Diu (M Cl) - Ward No.8,Diu,Municipality,Diu,The Dadra And Nagar Haveli And Daman And Diu,74909
9,Diu (M Cl) - Ward No.9,Diu,Municipality,Diu,The Dadra And Nagar Haveli And Daman And Diu,74910
10,Diu (M Cl) - Ward No.10,Diu,Municipality,Diu,The Dadra And Nagar Haveli And Daman And Diu,74911
11,Diu (M Cl) - Ward No.11,Diu,Municipality,Diu,The Dadra And Nagar Haveli And Daman And Diu,74912
12,Diu (M Cl) - Ward No.12,Diu,Municipality,Diu,The Dadra And Nagar Haveli And Daman And Diu,74913
13,Diu (M Cl) - Ward No.13,Diu,Municipality,Diu,The Dadra And Nagar Haveli And Daman And Diu,74914
