Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
11,Ward No.11,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,1240
12,Ward No.12,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,1241
13,Ward No.13,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,1242
14,Ward No.14,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,1243
15,Ward No.15,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,1244
16,Ward No.16,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,1245
17,Ward No.17,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,1246
1,Ward No.1,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,37153
2,Ward No.2,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,37154
3,Ward No.3,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,37155
4,Ward No.4,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,37156
5,Ward No.5,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,37157
6,Ward No.6,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,37158
7,Ward No.7,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,37159
8,Ward No.8,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,37160
9,Ward No.9,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,37161
10,Ward No.10,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,37162
18,Ward No.18,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,838637
24,Ward No.24,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,838638
25,Ward No.25,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,838639
30,Ward No.30,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,838640
32,Ward No.32,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,838642
34,Ward No.34,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,838643
21,Ward No.21,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,838644
22,Ward No.22,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,838645
35,Ward No.35,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,838646
19,Ward No.19,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,838655
28,Ward No.28,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,838656
33,Ward No.33,Agartala Municipal Corporation,Municipal Corporation,West Tripura,Tripura,838657
