Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Kashipur (MB) - Rampur Neejhda Ward No.1,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73459
2,Kashipur (MB) - Jaspur Khurd Pashchimi Ward No.2,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73460
3,Kashipur (MB) - Jaspur Khurd Purvi Ward No.3,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73461
4,Kashipur (MB) - Khadakpur Devipur Uttari Ward No.4,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73462
5,Kashipur (MB) - Kachnaal Gausaai Ward No.5,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73463
6,Kashipur (MB) - Hempur Ismile Uttari Ward No.6,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73464
7,Kashipur (MB) - Hempur Ismile Dakhchini Ward No.7,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73465
8,Kashipur (MB) - Khadakpur Devipura Purvi Ward No.8,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73466
9,Kashipur (MB) - Khadakpur Devipura Madhya Ward No.9,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73467
10,Kashipur (MB) - Khadakpur Devipura Pashchimi Ward No.10,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73468
11,Kashipur (MB) - Fasiyapura Ward No.11,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73469
12,Kashipur (MB) - Lakhshimipur Patti Ward No.12,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73470
13,Kashipur (MB) - Taanda Ujjain Pashchimi Ward No.13,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73471
14,Kashipur (MB) - Taanda Ujjain Dakhchini Ward No.14,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73472
15,Kashipur (MB) - Bazpur Road Ward No.15,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73473
16,Kashipur (MB) - Awas Vikas Dakhchini Ward No.16,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73474
17,Kashipur (MB) - Awas Vikas Madhya Ward No.17,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73475
18,Kashipur (MB) - Shaktinagar Ward No.18,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73476
19,Kashipur (MB) - Ganj Ward No.19,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73477
20,Kashipur (MB) - Maheshpura Madhya Ward No.20,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73478
21,Kashipur (MB) - Maheshpura Pashchimi Ward No.21,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296695
22,Kashipur (MB) - Lakhshimipur Patti Madhya Ward No.22,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296696
23,Kashipur (MB) - Alikhan Pashchimi Ward No.23,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296697
24,Kashipur (MB) - Alikhan Madhya Ward No.24,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296698
25,Kashipur (MB) - Alikhan Dakhchini Ward No.25,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296699
26,Kashipur (MB) - Ojhaan Ward No.26,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296700
27,Kashipur (MB) - Kaajibaag Ward No.27,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296701
28,Kashipur (MB) - Lahoriyaan Ward No.28,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296702
29,Kashipur (MB) - Kila Ward No.29,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296703
30,Kashipur (MB) - Pakkakot Ward No.30,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296704
31,Kashipur (MB) - Katoratal Pashchimi Ward No.31,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296705
32,Kashipur (MB) - Katoratal Madhya Ward No.32,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296706
33,Kashipur (MB) - Patelnagar Ward No.33,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296707
34,Kashipur (MB) - Giritaal Ward No.34,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296708
35,Kashipur (MB) - Chamunda Vihaar Ward No.35,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296709
36,Kashipur (MB) - Katorataal Uttari Ward No.36,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296710
37,Kashipur (MB) - Pakkakot Purvi Ward No.37,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296711
38,Kashipur (MB) - Bailjudi Nagar Ward No.38,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296712
39,Kashipur (MB) - Prabhaat Colony Ward No.39,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296713
40,Kashipur (MB) - Kachnaal Gaaji Ward No.40,Kashipur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,1296714
1,Rudrapur (MB) - Ward No.1,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73495
2,Rudrapur (MB) - Ward No.2,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73496
3,Rudrapur (MB) - Ward No.3,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73497
4,Rudrapur (MB) - Ward No.4,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73498
5,Rudrapur (MB) - Ward No.5,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73499
6,Rudrapur (MB) - Ward No.6,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73500
7,Rudrapur (MB) - Ward No.7,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73501
8,Rudrapur (MB) - Ward No.8,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73502
9,Rudrapur (MB) - Ward No.9,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73503
10,Rudrapur (MB) - Ward No.10,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73504
11,Rudrapur (MB) - Ward No.11,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73505
12,Rudrapur (MB) - Ward No.12,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73506
13,Rudrapur (MB) - Ward No.13,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73507
14,Rudrapur (MB) - Ward No.14,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73508
15,Rudrapur (MB) - Ward No.15,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73509
16,Rudrapur (MB) - Ward No.16,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73510
17,Rudrapur (MB) - Ward No.17,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73511
18,Rudrapur (MB) - Ward No.18,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73512
19,Rudrapur (MB) - Ward No.19,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73513
20,Rudrapur (MB) - Ward No.20,Rudrapur,Municipal Corporation,Udam Singh Nagar,Uttarakhand,73514
1,Bazpur (MB) -Gaandhinagar Ward No.1,Bazpur,Municipality,Udam Singh Nagar,Uttarakhand,18530
2,Bazpur (MB) -Mundiya Pistor Ward No.2,Bazpur,Municipality,Udam Singh Nagar,Uttarakhand,18531
3,Bazpur (MB) -Edgaah Ward No.3,Bazpur,Municipality,Udam Singh Nagar,Uttarakhand,18532
4,Bazpur (MB) -Majraprabhu Ward No.4,Bazpur,Municipality,Udam Singh Nagar,Uttarakhand,18533
5,Bazpur (MB) -Subhas Nagar Ward No.5,Bazpur,Municipality,Udam Singh Nagar,Uttarakhand,18534
6,Bazpur (MB) -Raj Bhawan Ward No.6,Bazpur,Municipality,Udam Singh Nagar,Uttarakhand,18535
7,Bazpur (MB) -Chini Mil Ward No.7,Bazpur,Municipality,Udam Singh Nagar,Uttarakhand,18536
8,Bazpur (MB) -Railway Colony Ward No.8,Bazpur,Municipality,Udam Singh Nagar,Uttarakhand,18537
9,Bazpur (MB) -Sanjay Nagar Ward No.9,Bazpur,Municipality,Udam Singh Nagar,Uttarakhand,18538
10,Bazpur (MB) -Mazara Bux Ward No.10,Bazpur,Municipality,Udam Singh Nagar,Uttarakhand,18539
11,Bazpur (MB) -Teen Mandir Ward No.11,Bazpur,Municipality,Udam Singh Nagar,Uttarakhand,18540
12,Bazpur (MB) - Bhonaislamnagar Ward No. 12,Bazpur,Municipality,Udam Singh Nagar,Uttarakhand,1307749
13,Bazpur (MB) - Rajeev Nagar Ward No.13,Bazpur,Municipality,Udam Singh Nagar,Uttarakhand,1307750
1,Gadarpur (MB) -Gurudwara Singh Sabha Ward No.1,Gadarpur,Municipality,Udam Singh Nagar,Uttarakhand,18565
2,Gadarpur (MB) - Ambedkar Park Ward No.2,Gadarpur,Municipality,Udam Singh Nagar,Uttarakhand,18566
3,Gadarpur (MB) -Gaandhinagar Ward No.3,Gadarpur,Municipality,Udam Singh Nagar,Uttarakhand,18567
4,Gadarpur (MB) - G.I.College Ward No.4,Gadarpur,Municipality,Udam Singh Nagar,Uttarakhand,18568
5,Gadarpur (MB) -Aadarsh Nagar Ward No.5,Gadarpur,Municipality,Udam Singh Nagar,Uttarakhand,18569
6,Gadarpur (MB) -Awas-Vikas Ward No.6,Gadarpur,Municipality,Udam Singh Nagar,Uttarakhand,18570
7,Gadarpur (MB) - Shivmandir Ward No.7,Gadarpur,Municipality,Udam Singh Nagar,Uttarakhand,18571
8,Gadarpur (MB) -Block Colony Ward No.8,Gadarpur,Municipality,Udam Singh Nagar,Uttarakhand,18572
9,Gadarpur (MB) -Punjabi Colony Ward No.9,Gadarpur,Municipality,Udam Singh Nagar,Uttarakhand,18573
10,Gadarpur (MB) -Ajaad Nagar Ward No.10,Gadarpur,Municipality,Udam Singh Nagar,Uttarakhand,1296749
11,Gadarpur (MB) -Pashu Chikitsalya Ward No.11,Gadarpur,Municipality,Udam Singh Nagar,Uttarakhand,1296750
1,Jaspur (MB) - Dilla Singh Ward No.1,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,18485
2,Jaspur (MB) - Natha Singh Purvi Ward No.2,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,18486
3,Jaspur (MB) - Natha Singh Paschami Ward No.3,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,18487
4,Jaspur (MB) - Gujratiyan Uttari Ward No.4,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,18488
5,Jaspur (MB) - Gujratiyan Dakshini Ward No.5,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,18489
6,Jaspur (MB) - Julahaan Uttari Ward No.6,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,18490
7,Jaspur (MB) - Julahaan Dakshini Ward No.7,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,18491
8,Jaspur (MB) - Patti Chauhan Purvi Ward No.8,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,18492
9,Jaspur (MB) - Patti Chauhan Paschami Ward No.9,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,18493
10,Jaspur (MB) - Bhoop Singh Dakshini Ward No.10,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,18494
11,Jaspur (MB) - Bazaar Bhoop Singh Uttari Ward No.11,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,18495
12,Jaspur (MB) - Chipiyan Purvi Ward No.12,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,18496
13,Jaspur (MB) - Chipiyan Paschami Ward No.13,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,18497
14,Jaspur (MB) - Nayi Bashti Purvi Ward No.14,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,1296512
15,Jaspur (MB) - Nayi Bashti Purvi Gaanguwala Ward No.15,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,1296513
16,Jaspur (MB) - Nayi Bashti Purvi Ward No.16,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,1296514
17,Jaspur (MB) - Nayi Bashti Madhyamik Paschami Ward No.17,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,1296515
18,Jaspur (MB) - Nayi Bashti Uttari Paschami Ward No.18,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,1296516
19,Jaspur (MB) - Nayi Bashti Purvi Dakshini Ward No.19,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,1296517
20,Jaspur (MB) - Nayi Bashti Paschami Dakshini Ward No.20,Jaspur,Municipality,Udam Singh Nagar,Uttarakhand,1296518
1,Khatima (MB) - Kanjabaag Patiya Ward No.1,Khatima,Municipality,Udam Singh Nagar,Uttarakhand,11648
2,Khatima (MB) - Edgaah Ward No.2,Khatima,Municipality,Udam Singh Nagar,Uttarakhand,11649
3,Khatima (MB) - Rajamashzid Ward No.3,Khatima,Municipality,Udam Singh Nagar,Uttarakhand,11650
4,Khatima (MB) - Islaamnagar Ward No.4,Khatima,Municipality,Udam Singh Nagar,Uttarakhand,11651
5,Khatima (MB) - Kureshi Mashzid Ward No.5,Khatima,Municipality,Udam Singh Nagar,Uttarakhand,11652
6,Khatima (MB) - Gotiya Ward No.6,Khatima,Municipality,Udam Singh Nagar,Uttarakhand,11653
7,Khatima (MB) - Purnagiri Colony Ward No.7,Khatima,Municipality,Udam Singh Nagar,Uttarakhand,11654
8,Khatima (MB) - Panchsheel Colony Ward No.8,Khatima,Municipality,Udam Singh Nagar,Uttarakhand,11655
9,Khatima (MB) - Amau Mayur Vihaar Ward No.9,Khatima,Municipality,Udam Singh Nagar,Uttarakhand,11656
10,Khatima (MB) - Jhankaiya Ward No.10,Khatima,Municipality,Udam Singh Nagar,Uttarakhand,1296519
11,Khatima (MB) - Awas Vikas Colony Ward No.11,Khatima,Municipality,Udam Singh Nagar,Uttarakhand,1296520
