Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Bidhan Nagar (M) - Ward No.1,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63902
2,Bidhan Nagar (M) - Ward No.2,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63903
3,Bidhan Nagar (M) - Ward No.3,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63904
4,Bidhan Nagar (M) - Ward No.4,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63905
5,Bidhan Nagar (M) - Ward No.5,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63906
6,Bidhan Nagar (M) - Ward No.6,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63907
7,Bidhan Nagar (M) - Ward No.7,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63908
8,Bidhan Nagar (M) - Ward No.8,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63909
9,Bidhan Nagar (M) - Ward No.9,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63910
10,Bidhan Nagar (M) - Ward No.10,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63911
11,Bidhan Nagar (M) - Ward No.11,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63912
12,Bidhan Nagar (M) - Ward No.12,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63913
13,Bidhan Nagar (M) - Ward No.13,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63914
14,Bidhan Nagar (M) - Ward No.14,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63915
15,Bidhan Nagar (M) - Ward No.15,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63916
16,Bidhan Nagar (M) - Ward No.16,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63917
17,Bidhan Nagar (M) - Ward No.17,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63918
18,Bidhan Nagar (M) - Ward No.18,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63919
19,Bidhan Nagar (M) - Ward No.19,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63920
20,Bidhan Nagar (M) - Ward No.20,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63921
21,Bidhan Nagar (M) - Ward No.21,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63922
22,Bidhan Nagar (M) - Ward No.22,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63923
23,Bidhan Nagar (M) - Ward No.23,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,63924
24,Bidhan Nagar (M) - Ward No.24,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897531
25,Bidhan Nagar (M) - Ward No.25,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897532
26,Bidhan Nagar (M) - Ward No.26,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897533
27,Bidhan Nagar (M) - Ward No.27,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897534
28,Bidhan Nagar (M) - Ward No.28,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897535
29,Bidhan Nagar (M) - Ward No.29,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897536
30,Bidhan Nagar (M) - Ward No.30,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897537
31,Bidhan Nagar (M) - Ward No.31,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897538
32,Bidhan Nagar (M) - Ward No.32,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897539
33,Bidhan Nagar (M) - Ward No.33,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897540
34,Bidhan Nagar (M) - Ward No.34,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897541
35,Bidhan Nagar (M) - Ward No.35,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897542
36,Bidhan Nagar (M) - Ward No.36,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897543
37,Bidhan Nagar (M) - Ward No.37,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897544
38,Bidhan Nagar (M) - Ward No.38,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897545
39,Bidhan Nagar (M) - Ward No.39,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897546
40,Bidhan Nagar (M) - Ward No.40,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897547
41,Bidhan Nagar (M) - Ward No.41,Bidhannagar,Municipal Corporation,24 Paraganas North,West Bengal,2897548
1,Ashoknagar Kalyangarh (M) - Ward No.1,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15681
2,Ashoknagar Kalyangarh (M) - Ward No.2,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15682
3,Ashoknagar Kalyangarh (M) - Ward No.3,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15683
4,Ashoknagar Kalyangarh (M) - Ward No.4,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15684
5,Ashoknagar Kalyangarh (M) - Ward No.5,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15685
6,Ashoknagar Kalyangarh (M) - Ward No.6,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15686
7,Ashoknagar Kalyangarh (M) - Ward No.7,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15687
8,Ashoknagar Kalyangarh (M) - Ward No.8,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15688
9,Ashoknagar Kalyangarh (M) - Ward No.9,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15689
10,Ashoknagar Kalyangarh (M) - Ward No.10,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15690
11,Ashoknagar Kalyangarh (M) - Ward No.11,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15691
12,Ashoknagar Kalyangarh (M) - Ward No.12,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15692
13,Ashoknagar Kalyangarh (M) - Ward No.13,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15693
14,Ashoknagar Kalyangarh (M) - Ward No.14,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15694
15,Ashoknagar Kalyangarh (M) - Ward No.15,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15695
16,Ashoknagar Kalyangarh (M) - Ward No.16,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15696
17,Ashoknagar Kalyangarh (M) - Ward No.17,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15697
18,Ashoknagar Kalyangarh (M) - Ward No.18,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15698
19,Ashoknagar Kalyangarh (M) - Ward No.19,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15699
20,Ashoknagar Kalyangarh (M) - Ward No.20,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15700
21,Ashoknagar Kalyangarh (M) - Ward No.21,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15701
22,Ashoknagar Kalyangarh (M) - Ward No.22,Ashoknagar Kalyangarh,Municipality,24 Paraganas North,West Bengal,15702
1,Baduria (M) - Ward No.1,Baduria,Municipality,24 Paraganas North,West Bengal,15794
2,Baduria (M) - Ward No.2,Baduria,Municipality,24 Paraganas North,West Bengal,15795
3,Baduria (M) - Ward No.3,Baduria,Municipality,24 Paraganas North,West Bengal,15796
4,Baduria (M) - Ward No.4,Baduria,Municipality,24 Paraganas North,West Bengal,15797
5,Baduria (M) - Ward No.5,Baduria,Municipality,24 Paraganas North,West Bengal,15798
6,Baduria (M) - Ward No.6,Baduria,Municipality,24 Paraganas North,West Bengal,15799
7,Baduria (M) - Ward No.7,Baduria,Municipality,24 Paraganas North,West Bengal,15800
8,Baduria (M) - Ward No.8,Baduria,Municipality,24 Paraganas North,West Bengal,15801
9,Baduria (M) - Ward No.9,Baduria,Municipality,24 Paraganas North,West Bengal,15802
10,Baduria (M) - Ward No.10,Baduria,Municipality,24 Paraganas North,West Bengal,15803
11,Baduria (M) - Ward No.11,Baduria,Municipality,24 Paraganas North,West Bengal,15804
12,Baduria (M) - Ward No.12,Baduria,Municipality,24 Paraganas North,West Bengal,15805
13,Baduria (M) - Ward No.13,Baduria,Municipality,24 Paraganas North,West Bengal,15806
14,Baduria (M) - Ward No.14,Baduria,Municipality,24 Paraganas North,West Bengal,15807
15,Baduria (M) - Ward No.15,Baduria,Municipality,24 Paraganas North,West Bengal,15808
16,Baduria (M) - Ward No.16,Baduria,Municipality,24 Paraganas North,West Bengal,15809
17,Baduria (M) - Ward No.17,Baduria,Municipality,24 Paraganas North,West Bengal,15810
5,Bangaon (M) - Ward No.5,Bangaon,Municipality,24 Paraganas North,West Bengal,14973
6,Bangaon (M) - Ward No.6,Bangaon,Municipality,24 Paraganas North,West Bengal,14974
7,Bangaon (M) - Ward No.7,Bangaon,Municipality,24 Paraganas North,West Bengal,15456
1,Bangaon (M) - Ward No.1,Bangaon,Municipality,24 Paraganas North,West Bengal,15457
2,Bangaon (M) - Ward No.2,Bangaon,Municipality,24 Paraganas North,West Bengal,15458
3,Bangaon (M) - Ward No.3,Bangaon,Municipality,24 Paraganas North,West Bengal,15459
4,Bangaon (M) - Ward No.4,Bangaon,Municipality,24 Paraganas North,West Bengal,15460
8,Bangaon (M) - Ward No.8,Bangaon,Municipality,24 Paraganas North,West Bengal,15461
9,Bangaon (M) - Ward No.9,Bangaon,Municipality,24 Paraganas North,West Bengal,15462
10,Bangaon (M) - Ward No.10,Bangaon,Municipality,24 Paraganas North,West Bengal,15463
11,Bangaon (M) - Ward No.11,Bangaon,Municipality,24 Paraganas North,West Bengal,15464
12,Bangaon (M) - Ward No.12,Bangaon,Municipality,24 Paraganas North,West Bengal,15465
13,Bangaon (M) - Ward No.13,Bangaon,Municipality,24 Paraganas North,West Bengal,15466
14,Bangaon (M) - Ward No.14,Bangaon,Municipality,24 Paraganas North,West Bengal,15467
15,Bangaon (M) - Ward No.15,Bangaon,Municipality,24 Paraganas North,West Bengal,15468
16,Bangaon (M) - Ward No.16,Bangaon,Municipality,24 Paraganas North,West Bengal,15469
17,Bangaon (M) - Ward No.17,Bangaon,Municipality,24 Paraganas North,West Bengal,15470
18,Bangaon (M) - Ward No.18,Bangaon,Municipality,24 Paraganas North,West Bengal,15471
19,Bangaon (M) - Ward No.19,Bangaon,Municipality,24 Paraganas North,West Bengal,15472
20,Bangaon (M) - Ward No.20,Bangaon,Municipality,24 Paraganas North,West Bengal,15473
21,Bangaon (M) - Ward No.21,Bangaon,Municipality,24 Paraganas North,West Bengal,15474
22,Bangaon (M) - Ward No.22,Bangaon,Municipality,24 Paraganas North,West Bengal,2897561
1,Baranagar (M) - Ward No.1,Baranagar,Municipality,24 Paraganas North,West Bengal,15886
2,Baranagar (M) - Ward No.2,Baranagar,Municipality,24 Paraganas North,West Bengal,15887
3,Baranagar (M) - Ward No.3,Baranagar,Municipality,24 Paraganas North,West Bengal,15888
4,Baranagar (M) - Ward No.4,Baranagar,Municipality,24 Paraganas North,West Bengal,15889
5,Baranagar (M) - Ward No.5,Baranagar,Municipality,24 Paraganas North,West Bengal,15890
